loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,10002326,6,11,-2,0,0,0,1,-1,0,0,0,1,0,-3,1000,4,8,0,0,1172,117,-421,685,0,0,4,1,1,4,72,-31,2014,203,158,218,191,284,211,305,249,,,,,,,,,,,
1,10004295,5,10,-5,0,0,0,0,-3,0,0,0,1,0,-3,1000,4,8,0,0,1172,117,-420,685,-1,-1,2,-11,10,-5,73,-31,2002,210,158,219,193,282,251,304,249,3,0,0,1,1,,,,,,
2,10006264,5,12,-1,0,0,0,1,2,0,0,0,1,0,-3,1000,4,8,0,0,1176,116,-420,684,-5,1,2,-9,3,-3,80,-25,2008,233,143,218,192,281,252,344,249,3,0,0,1,1,,,,,,
3,10008234,4,12,-2,0,0,0,1,1,0,0,0,1,0,-3,1000,4,8,0,0,1175,115,-420,683,0,-1,3,-5,12,-6,95,-24,2005,226,151,219,192,281,252,384,248,3,0,0,1,1,,,,,,
4,10010205,4,11,-4,0,0,0,-1,-3,0,0,0,1,0,-3,1000,4,8,0,0,1174,116,-420,684,-1,0,2,-9,-5,-6,101,-43,2006,189,151,219,192,284,251,424,247,3,0,0,1,1,,,,,,
5,10012176,4,12,-1,0,0,0,0,2,0,0,0,1,0,-3,1000,4,8,0,0,1178,115,-420,683,-4,1,2,-10,-3,2,88,-23,2005,232,136,219,191,282,251,464,247,3,0,0,1,1,,,,,,
6,10014148,4,13,-4,0,0,0,1,1,0,0,0,1,0,-3,1000,4,8,0,0,1178,115,-421,688,-2,-1,8,-2,-4,-1,109,-33,2020,230,141,220,189,282,291,463,248,3,0,0,1,1,,,,,,
7,10016120,3,12,-4,0,0,0,0,-2,0,0,0,1,0,-3,1000,4,8,0,0,1178,115,-421,687,-3,1,1,-1,-10,-7,84,-28,1984,234,138,219,190,281,331,464,248,3,0,0,1,1,,,,,,
8,10018091,2,14,0,0,0,0,-2,0,0,0,0,1,0,-3,1000,4,8,0,0,1177,116,-420,687,-7,1,4,-4,0,1,104,-28,2014,244,113,220,189,284,334,427,280,3,0,0,1,1,,,,,,
9,10020061,2,14,-5,0,0,0,0,-1,0,0,0,1,0,-3,1000,4,8,0,0,1177,116,-420,692,-5,2,4,-12,-4,-7,111,-31,1997,274,125,220,188,282,374,427,281,3,0,0,1,1,211,-154,-125,40,3938,2
10,10022032,1,15,-2,0,0,0,-1,2,0,0,0,1,0,-3,1000,4,8,0,0,1176,115,-420,692,-11,0,2,-15,-3,-3,109,-29,2005,266,106,220,187,282,374,467,280,3,0,0,1,1,211,-154,-125,40,3938,2
11,10024006,0,16,0,0,0,0,-2,3,0,0,0,1,0,-3,1000,4,8,0,0,1176,115,-421,691,-8,0,6,6,-12,-13,111,-20,2014,251,116,220,187,284,414,461,281,3,0,0,1,1,211,-154,-125,40,3938,2
