loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7249459,-1,23,-2,0,0,0,-7,5,0,0,0,1,0,-3,1000,1,17,0,0,1656,205,-285,665,1,0,2,0,0,4,128,20,2010,286,171,249,148,475,288,478,304,,,,,,,,,,,
1,7251428,-1,24,-3,0,0,0,-2,6,0,0,0,1,0,-3,1000,1,17,0,0,1655,204,-285,664,1,2,1,-4,1,-17,131,9,1987,291,172,249,148,470,288,518,306,3,0,0,1,1,,,,,,
2,7253392,0,22,0,0,0,0,0,-3,0,0,0,1,0,-3,1000,1,17,0,0,1655,203,-284,661,-3,3,1,3,-7,3,77,14,1985,304,183,251,153,469,328,521,307,3,0,0,1,1,,,,,,
3,7255356,-2,22,-1,0,0,0,-7,0,0,0,0,1,0,-3,1000,1,17,0,0,1656,315,-283,662,0,6,1,3,-16,12,112,14,1992,267,151,248,149,472,333,561,307,3,0,0,1,1,,,,,,
4,7257319,-2,24,-3,0,0,0,-6,9,0,0,0,1,0,-3,1000,1,17,0,0,1656,316,-285,664,-2,3,0,32,-1,0,157,12,2027,285,160,249,147,472,373,562,309,3,0,0,1,1,,,,,,
5,7259282,0,23,0,0,0,0,1,4,0,0,0,1,0,-3,1000,1,17,0,0,1656,315,-285,660,0,5,-5,-15,-46,1,91,6,2030,309,162,250,151,470,413,561,309,3,0,0,1,1,,,,,,
6,7261247,-1,24,-1,0,0,0,-6,8,0,0,0,1,0,-3,1000,1,17,0,0,1655,317,-285,661,1,3,-3,14,-31,19,132,9,2036,263,127,250,147,472,416,601,307,3,0,0,1,1,,,,,,
7,7263213,-2,24,-5,0,0,0,-4,11,0,0,0,1,0,-3,1000,1,17,0,0,1654,315,-284,661,3,7,-5,-1,-9,26,116,47,2028,295,144,244,148,469,416,641,306,3,0,0,1,1,,,,,,
8,7265180,0,23,-2,0,0,0,2,5,0,0,0,1,0,-3,1000,1,17,0,0,1655,209,-286,660,-2,1,-3,3,-43,-1,121,-1,2027,303,162,251,151,469,414,604,338,3,0,0,1,1,,,,,,
9,7269116,-1,19,-1,0,0,0,-4,-2,0,0,0,1,0,-3,1000,1,17,0,0,1655,210,-284,661,2,4,-2,3,-20,22,74,23,1963,270,153,245,153,470,454,603,336,3,0,0,1,1,,,,,,
10,7273053,-3,20,-5,0,0,0,-7,5,0,0,0,1,0,-3,1000,1,17,0,0,1654,211,-283,659,5,1,-3,8,-17,50,91,100,2007,317,154,237,150,465,457,643,336,3,0,0,1,1,,,,,,
11,7276990,0,21,-2,0,0,0,1,4,0,0,0,1,0,-3,1000,1,17,0,0,1653,209,-284,659,0,1,-3,-2,-11,-10,93,43,1975,325,181,244,155,463,455,683,335,3,0,0,1,1,,,,,,
36,95,0,16,20,11,1,0,-1,40,1,0,-3,2,0,-4,13,0,0,0,0,1658,0,0,4,-2,0,2,4,-26,10,9,-67,0,159,135,163,157,16,2,80,0,3,0,0,1,1,,,,,,
37,94,-1,18,16,11,1,0,-5,47,1,0,-3,2,0,-4,13,0,0,0,0,1659,-59,1,3,3,2,-1,5,-7,25,13,10,16,173,131,153,155,16,6,120,1,3,0,0,1,1,,,,,,
38,71,21,18,12,11,1,0,-11,43,41,0,0,6,0,-4,13,0,0,0,0,1670,-60,1,3,0,1,0,4,-17,16,7,-29,11,160,138,148,142,12,-10,174,42,3,0,0,1,1,,,,,,
39,48,23,16,17,11,1,0,-6,34,41,0,0,6,0,-4,13,0,0,0,0,1670,-62,2,-3,3,2,-6,-11,-56,11,-54,-11,24,193,140,153,152,8,30,174,42,3,0,0,1,1,,,,,,
40,24,20,15,16,11,1,0,-15,33,41,0,0,6,0,-4,13,0,0,0,0,1670,-60,3,0,2,2,6,-2,9,24,-15,4,-24,145,139,149,154,12,70,175,41,3,0,0,1,1,,,,,,
128,7312459,-1,23,-5,0,0,0,-5,4,0,0,0,1,0,-3,1000,1,17,0,0,1656,152,-285,664,1,0,5,3,-1,2,125,30,2070,271,148,229,148,479,292,490,313,3,0,0,1,1,,,,,,
129,7314428,-1,25,-5,0,0,0,0,6,0,0,0,1,0,-3,1000,1,17,0,0,1656,152,-286,661,-2,0,0,4,-24,0,136,30,2103,289,151,232,142,477,332,489,316,3,0,0,1,1,,,,,,
130,7316398,0,23,0,0,0,0,-1,0,0,0,0,1,0,-3,1000,1,17,0,0,1657,241,-287,662,-5,1,3,2,-38,-24,128,-37,2086,261,141,238,145,480,332,529,316,3,0,0,1,1,,,,,,
131,7318367,-3,23,-5,0,0,0,-9,4,0,0,0,1,0,-3,1000,1,17,0,0,1657,243,-287,668,-3,1,9,20,10,-26,198,31,2079,265,140,234,144,483,372,530,316,3,0,0,1,1,,,,,,
132,7320336,-2,24,-5,0,0,0,-2,4,0,0,0,1,0,-3,1000,1,17,0,0,1657,242,-288,667,-4,0,-2,28,-41,-16,162,-32,2103,281,142,237,141,481,412,530,319,3,0,0,1,1,,,,,,
133,7322304,-1,22,1,0,0,0,-2,-3,0,0,0,1,0,-3,1000,1,17,0,0,1656,240,-289,669,-9,-2,5,23,-28,-44,163,-65,2091,265,134,241,141,484,411,570,320,3,0,0,1,1,,,,,,
134,7324272,-4,22,-4,0,0,0,-9,0,0,0,0,1,0,-3,1000,1,17,0,0,1656,242,-289,676,-3,-2,6,31,-5,-35,214,-21,2080,263,133,237,148,488,451,570,319,3,0,0,1,1,,,,,,
135,7326239,-3,23,-6,0,0,0,-3,5,0,0,0,1,0,-3,1000,1,17,0,0,1657,189,-289,675,-5,-6,5,25,2,-34,183,-17,2060,296,149,237,146,482,448,610,321,3,0,0,1,1,,,,,,
136,7328204,-2,22,1,0,0,0,-1,1,0,0,0,1,0,-3,1000,1,17,0,0,1657,188,-288,668,-2,-3,1,11,-47,-25,140,-19,2074,274,150,238,149,479,411,706,-3671659,3,0,0,1,1,,,,,,
137,7332137,-5,23,-4,0,0,0,-9,6,0,0,0,1,0,-3,1000,1,17,0,0,1656,189,-286,668,3,-4,4,24,-26,15,150,42,2090,288,149,234,146,484,415,746,-3671658,3,0,0,1,1,,,,,,
138,7336070,-3,25,-7,0,0,0,-3,12,0,0,0,1,0,-3,1000,1,17,0,0,1656,189,-288,669,1,-4,-6,30,-60,3,176,-15,2114,305,151,237,147,482,455,746,-3671655,3,0,0,1,1,,,,,,
139,7340002,-2,24,1,0,0,0,-2,7,0,0,0,1,0,-3,1000,1,17,0,0,1660,188,-290,670,-6,-6,1,27,-61,-9,159,-43,2102,308,147,242,147,481,454,786,-3671654,3,0,0,1,1,,,,,,
81,6,-2,9,4,40,0,-1,-2,-4,0,-7,-3,0,0,0,0,0,1,-71,0,1656,6,2,0,7,14,36,6,-1,15,-48,-16,-2,53,53,56,93,1,3,2,13,3,0,0,1,1,,,,,,
82,7,-2,10,0,40,0,-1,3,0,0,-7,-3,0,0,0,0,0,1,-71,0,1656,7,2,2,6,14,32,16,-8,19,0,-28,28,77,48,57,90,-1,43,2,15,3,0,0,1,1,,,,,,
83,8,0,9,7,40,0,-1,5,-3,0,-7,-3,0,0,0,0,0,1,-71,0,1655,6,0,1,-2,14,34,7,-12,-29,-27,-68,13,86,48,61,92,-1,41,42,14,12,2,0,-2,1,,,,,,
75,10,0,0,2,40,1,-2,0,-3,0,-6,0,0,0,0,0,0,0,1,0,1648,0,0,18,-22,41,7,13,22,-33,-16,0,-2,70,75,110,70,1,1,13,0,12,2,0,-2,1,,,,,,
76,9,-1,2,-3,40,1,-2,1,2,0,-6,0,0,0,0,0,0,0,1,0,1648,1,0,21,-23,40,5,34,21,-30,25,-16,6,84,70,111,66,-1,-36,141,3687729,12,2,0,-2,1,,,,,,
77,1977,1,1,4,40,1,-2,6,-4,0,-6,0,0,0,0,0,0,0,1,0,1648,0,0,15,-21,40,3,10,-5,-27,-48,-8,0,72,72,110,63,-2,4,141,3687728,12,2,0,-2,1,,,,,,
