loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,6948703,3,20,2,0,0,0,0,4,3,0,0,0,1,1,-3,1000,3,13,0,0,1192,158,-238,707,0,-1,-2,0,0,1,114,-36,2059,237,165,266,158,340,223,348,251,,,,,,,,,,,
1,6950671,4,19,1,0,0,0,0,1,-1,0,0,0,1,1,-3,1000,3,13,0,0,1192,158,-237,709,1,-1,-1,-10,2,4,111,-43,2041,251,165,265,160,340,263,348,251,3,0,0,1,1,,,,,,
2,6952640,3,18,0,0,0,0,-1,-2,1,0,0,0,1,1,-3,1000,3,13,0,0,1192,158,-236,710,1,0,-5,-22,9,-4,94,-39,2024,242,166,264,160,338,303,347,251,3,0,0,1,1,,,,,,
3,6954609,3,18,1,0,0,0,0,1,1,0,0,0,1,1,-3,1000,3,13,0,0,1192,158,-237,708,0,0,0,-9,0,-8,110,-37,2055,235,165,264,158,340,343,348,252,3,0,0,1,1,,,,,,
4,6956577,3,18,0,0,0,0,2,0,-1,0,0,0,1,1,-3,1000,3,13,0,0,1191,156,-237,707,3,-1,-3,-14,9,11,113,-13,2036,255,198,262,159,339,341,388,252,3,0,0,1,1,,,,,,
5,6958546,3,18,1,0,0,0,-1,-3,2,0,0,0,1,1,-3,1000,3,13,0,0,1191,155,-236,704,1,0,-6,-5,-11,-6,81,-25,2023,218,183,262,161,339,381,387,250,3,0,0,1,1,,,,,,
6,6960515,3,18,2,0,0,0,-1,-5,0,0,0,0,1,1,-3,1000,3,13,0,0,1191,155,-236,705,2,1,1,-31,3,7,83,-20,2011,229,190,262,162,340,421,390,251,3,0,0,1,1,,,,,,
7,6962479,3,19,0,0,0,0,0,-3,-1,0,0,0,1,0,-3,1000,3,13,0,0,1190,156,-237,705,3,0,-4,-20,-8,8,76,9,2014,246,214,259,162,337,420,430,254,3,0,0,1,1,,,,,,
8,6964442,2,21,2,0,0,0,-2,-1,1,0,0,0,1,0,-3,1000,3,13,0,0,1188,153,-160,705,1,-2,-1,-25,-1,36,71,-4,2012,237,208,228,163,337,417,431,217,3,0,0,1,1,,,,,,
9,6968374,2,20,1,0,0,0,-1,-5,-1,0,0,0,1,0,-3,1000,3,13,0,0,1188,152,-159,706,1,-1,-2,-26,2,14,65,2,2000,258,213,242,161,337,457,430,217,3,0,0,1,1,,,,,,
