loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7343660,2,15,-3,0,0,0,1,2,-6,0,0,0,1,0,-3,1000,1,10,0,0,1242,229,-321,697,0,0,4,0,-1,3,55,13,2051,261,158,239,206,340,244,345,259,,,,,,,,,,,
1,7345628,1,16,-4,0,0,0,-1,3,-3,0,0,0,1,0,-3,1000,1,10,0,0,1242,230,-321,696,0,0,0,16,-2,8,49,13,2040,240,154,241,203,336,284,346,259,3,0,0,1,1,,,,,,
8,1,-1,1,40,-1,1,-1,3,0,2,-2,2,0,0,0,0,0,-1,1,0,0,1239,0,1,0,14,-20,2,-33,15,16,-13,2,-1,160,162,200,160,0,1,0,0,3,0,0,1,1,,,,,,
9,1,0,1,37,-1,1,-1,4,0,-3,-2,2,0,0,0,0,0,-1,1,0,0,1238,1,0,1,19,-21,3,-31,-12,18,-26,24,-9,151,205,198,161,1,-1,40,1,3,0,0,1,1,,,,,,
10,0,-2,1,40,-1,1,-1,-1,2,2,-2,2,0,0,0,0,0,-1,1,0,0,1238,2,-1,-3,17,-22,-2,-28,2,11,-23,29,-6,113,180,197,158,1,39,41,-1,3,0,0,1,1,,,,,,
11,-2,-1,2,39,-1,1,-1,3,3,-3,-2,2,0,0,0,0,0,-1,1,0,0,1238,2,-1,0,16,-21,7,0,-1,7,-18,4,-8,132,190,194,157,0,79,41,1,3,0,0,1,1,,,,,,
12,-4,1,0,36,-1,1,-1,5,-2,-2,-2,2,0,0,0,0,0,-1,1,0,0,1238,0,-1,1,16,-21,-2,-36,4,15,-29,11,-5,165,190,199,158,-2,119,42,0,3,0,0,1,1,,,,,,
13,-7,0,0,42,-1,1,-1,1,-1,3,-2,2,0,0,0,0,0,-1,1,0,0,1237,2,0,2,10,-20,3,-19,1,-3,-23,-14,36,153,146,199,155,1,123,82,0,3,0,0,1,1,,,,,,
14,-9,-1,0,38,-1,1,-1,1,1,-5,-2,2,0,0,0,0,0,-1,1,0,0,1236,0,1,2,19,-20,-1,-20,8,31,-21,30,-24,128,168,193,156,1,123,45,32,3,0,0,1,1,,,,,,
15,1957,0,0,37,-1,1,-1,4,0,-1,-2,2,0,0,0,0,0,-1,1,0,0,1236,-1,1,-1,14,-20,-6,-14,-5,18,-36,8,21,147,157,198,154,-2,163,46,33,3,0,0,1,1,,,,,,
16,3922,0,-1,41,-1,1,-1,3,-3,2,-2,2,0,0,0,0,0,-1,1,0,0,1236,-2,1,-6,15,-20,-3,-28,-23,25,-78,34,-7,106,166,193,157,2,203,46,33,3,0,0,1,1,121,0,0,-27,14,0
17,5888,0,-1,39,-1,1,-1,3,-2,-3,-2,2,0,0,0,0,0,-1,1,0,0,1235,1,1,-6,18,-18,-3,-18,-26,34,-52,42,-7,113,175,189,154,2,202,86,33,3,0,0,1,1,121,0,0,-27,14,0
18,7852,0,0,38,-1,1,-1,2,-1,-1,-2,2,0,0,0,0,0,-1,1,0,0,1234,-2,2,-6,16,-18,-4,-26,-9,36,-61,55,-7,110,162,187,155,-2,199,126,34,3,0,0,1,1,121,0,0,-27,14,0
19,9817,2,0,39,-1,1,-1,5,-2,0,-2,2,0,0,0,0,0,-1,1,0,0,1234,-3,1,-7,15,-18,-1,-8,-28,27,-76,46,7,111,170,187,151,-2,239,125,35,3,0,0,1,1,121,0,0,-27,14,0
20,11782,3,-1,38,-1,1,-1,5,-4,-1,-2,2,0,0,0,0,0,-1,1,0,0,1234,-4,2,-6,15,-18,-4,-42,-14,20,-76,50,-8,130,165,185,153,-4,279,126,33,3,0,0,1,1,121,0,0,-27,14,0
21,13746,2,-1,40,-1,1,-1,0,-4,0,-2,2,0,0,0,0,0,-1,1,0,0,1234,-3,2,-8,16,-20,-2,-21,-19,26,-58,71,-5,97,165,185,152,-2,319,126,31,3,0,0,1,1,121,0,0,-27,14,0
22,15711,3,0,39,-1,1,-1,4,-3,-3,-2,2,0,0,0,0,0,-1,1,0,0,1233,-5,2,-9,18,-21,-3,-26,-7,25,-59,61,-35,110,167,185,151,-4,318,89,95,3,0,0,1,1,121,0,0,-27,14,0
23,19644,3,-1,38,-1,1,-1,5,-6,-1,-2,2,0,0,0,0,0,-1,1,0,0,1233,-5,3,-10,17,-20,-7,-26,-26,28,-85,66,-33,104,170,187,150,-6,358,89,95,3,0,0,1,1,121,0,0,-27,14,0
24,23578,2,0,42,-1,1,-1,1,-6,1,-2,2,0,0,0,0,0,-1,1,0,0,1233,-4,3,-14,17,-19,-3,-21,-33,27,-81,90,-27,75,170,184,153,-2,398,88,94,3,0,0,1,1,121,0,0,-27,14,0
