loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7098174,-2,8,-3,0,0,0,0,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1247,82,-238,685,0,1,1,-1,1,-2,37,9,2053,198,158,179,160,304,236,288,230,,,,,,,,,,,
1,7100142,-2,10,-1,0,0,0,0,1,0,0,0,1,0,-3,1000,-1,7,0,0,1247,82,-239,684,0,0,0,8,6,-4,51,14,2071,196,156,179,158,304,276,288,230,3,0,0,1,1,,,,,,
2,7102112,-2,9,0,0,0,0,1,0,0,0,0,1,0,-3,1000,-1,7,0,0,1246,81,-239,683,-1,-1,0,4,17,-4,32,8,2067,203,157,179,158,303,276,328,227,3,0,0,1,1,,,,,,
3,7104084,-2,7,-2,0,0,0,1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1246,80,-239,685,1,1,1,-6,8,-13,30,3,2052,207,157,180,161,302,316,327,227,3,0,0,1,1,,,,,,
4,7106056,-3,7,-1,0,0,0,0,0,0,0,0,1,0,-3,1000,-1,7,0,0,1246,80,-238,684,0,0,-2,-11,13,-9,34,9,2056,197,157,179,159,302,356,327,228,3,0,0,1,1,,,,,,
5,7108029,-3,9,0,0,0,0,1,1,0,0,0,1,0,-3,1000,-1,7,0,0,1246,80,-239,683,0,-2,1,8,20,-2,48,12,2078,202,156,179,159,303,396,327,227,3,0,0,1,1,,,,,,
6,7110001,-1,8,-3,0,0,0,2,0,0,0,0,1,0,-3,1000,-1,7,0,0,1246,79,-238,685,-2,0,1,4,1,2,34,0,2057,209,157,180,160,302,436,329,227,3,0,0,1,1,,,,,,
7,7111970,-2,8,-1,0,0,0,1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1245,75,-237,686,-3,1,2,4,-11,-2,35,-7,2068,189,145,179,158,305,436,369,228,3,0,0,1,1,,,,,,
8,7113939,-2,8,0,0,0,0,1,0,0,0,0,1,0,-3,1000,-1,7,0,0,1244,78,-236,685,-2,1,-1,5,-1,10,38,7,2074,217,151,178,158,304,438,332,260,3,0,0,1,1,,,,,,
9,7117877,-1,8,-3,0,0,0,2,0,0,0,0,1,0,-3,1000,-1,7,0,0,1244,78,-236,687,-3,2,2,20,-8,-4,34,-11,2063,210,147,181,158,303,478,331,261,3,0,0,1,1,,,,,,
10,7121816,-1,8,-1,0,0,0,2,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1244,77,-236,685,-1,1,-4,1,-12,5,29,-2,2066,211,149,179,160,302,518,330,260,3,0,0,1,1,,,,,,
11,7125755,-2,7,1,0,0,0,1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1244,78,-235,684,-2,2,1,6,-3,-8,29,14,2064,205,149,179,159,303,558,330,260,3,0,0,1,1,,,,,,
12,7129695,-1,8,-2,0,0,0,1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1243,77,-236,683,2,0,-3,7,-12,2,40,9,2043,203,150,177,160,304,557,370,259,3,0,0,1,1,,,,,,
13,7133636,-1,10,-2,0,0,0,1,0,0,0,0,1,0,-3,1000,-1,7,0,0,1243,77,-237,682,1,1,-4,18,-18,12,45,11,2061,208,149,179,159,304,597,369,258,3,0,0,1,1,,,,,,
14,7137577,-1,9,1,0,0,0,0,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1243,78,-237,678,0,1,-5,11,-18,-1,36,30,2058,199,151,177,159,305,637,369,258,3,0,0,1,1,,,,,,
15,7141519,0,8,-2,0,0,0,0,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1243,78,-237,682,0,1,0,4,-13,-10,30,2,2045,203,149,178,159,305,677,368,258,3,0,0,1,1,,,,,,
16,7145461,0,7,-3,0,0,0,-1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1242,79,-237,683,0,1,-2,4,-25,-9,35,19,2050,194,157,177,160,306,677,331,322,3,0,0,1,1,,,,,,
17,7151371,0,8,1,0,0,0,-1,1,0,0,0,1,0,-3,1000,-1,7,0,0,1241,80,-238,682,-1,2,0,4,-9,-2,34,17,2057,220,153,176,158,305,677,371,323,3,0,0,1,1,,,,,,
18,7157280,-1,7,-1,0,0,0,-1,0,0,0,0,1,0,-3,1000,-1,7,0,0,1241,80,-238,684,-1,1,2,18,-16,-9,26,12,2041,207,155,175,162,304,717,371,324,3,0,0,1,1,,,,,,
19,7163190,-2,6,-2,0,0,0,-1,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1241,80,-237,684,0,3,0,-12,-22,-8,21,10,2028,216,155,175,163,304,757,370,325,3,0,0,1,1,,,,,,
20,7169100,-3,7,0,0,0,0,-1,1,0,0,0,1,0,-3,1000,-1,7,0,0,1241,80,-238,682,1,1,0,6,-8,-3,36,25,2057,209,154,174,161,304,797,371,325,3,0,0,1,1,,,,,,
