loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8896856,-4,10,-4,0,0,0,-7,7,1,0,0,0,1,0,-3,1000,-1,7,0,0,1603,241,-469,664,1,0,1,1,0,-3,63,14,2024,254,175,201,148,383,303,370,295,,,,,,,,,,,
1,8898824,-2,11,0,0,0,0,2,10,6,0,0,0,1,0,-3,1000,-1,7,0,0,1603,240,-470,660,0,-1,1,-1,-19,-5,39,10,2077,254,173,199,139,389,343,371,297,3,0,0,1,1,,,,,,
2,8900791,-3,10,0,0,0,0,-1,2,0,0,0,0,1,0,-3,1000,-1,7,0,0,1603,239,-469,663,1,2,4,-9,3,6,19,5,1990,267,180,202,144,386,383,372,296,3,0,0,1,1,,,,,,
3,8902758,-5,11,-2,0,0,0,-3,9,1,0,0,0,1,0,-3,1000,-1,7,0,0,1603,240,-469,665,0,-1,4,3,10,9,62,8,2018,241,170,199,142,385,423,370,297,3,0,0,1,1,,,,,,
4,8904727,-3,12,0,0,0,0,3,12,3,0,0,0,1,0,-3,1000,-1,7,0,0,1603,239,-470,663,-1,-1,1,4,-3,12,38,-7,2065,261,174,202,135,387,463,369,298,3,0,0,1,1,,,,,,
5,8906696,-4,9,1,0,0,0,-2,0,1,0,0,0,1,0,-3,1000,-1,7,0,0,1603,239,-468,662,0,0,2,-6,-8,12,9,21,1980,252,177,198,140,386,503,370,296,3,0,0,1,1,,,,,,
6,8908664,-4,9,-2,0,0,0,0,5,-1,0,0,0,1,0,-3,1000,-1,7,0,0,1603,240,-468,664,-1,-2,6,-10,20,14,47,-12,2015,258,170,199,135,386,543,370,297,3,0,0,1,1,,,,,,
7,8910633,-3,10,-1,0,0,0,1,9,4,0,0,0,1,0,-3,1000,-1,7,0,0,1607,241,-468,663,-1,-1,3,-16,30,-5,10,20,1994,312,171,197,139,379,542,410,297,3,0,0,1,1,,,,,,
8,8912601,-3,9,3,0,0,0,-1,0,3,0,0,0,1,0,-3,1000,-1,7,0,0,1606,239,-468,664,-5,-2,7,-8,16,-3,27,-36,2040,260,162,203,135,384,545,373,329,3,0,0,1,1,,,,,,
9,8916538,-4,10,-4,0,0,0,-3,6,-3,0,0,0,1,0,-3,1000,-1,7,0,0,1606,239,-469,669,-2,-2,7,-14,54,8,74,-27,2015,312,164,205,142,382,585,372,329,3,0,0,1,1,,,,,,
