loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7271443,-3,12,-1,0,0,0,0,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1201,141,-262,641,-1,0,2,0,1,2,73,1,2037,212,166,197,158,316,237,286,223,,,,,,,,,,,
1,7273412,-5,11,-3,0,0,0,-2,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1201,143,-262,640,0,-1,0,-18,12,-3,83,7,2027,212,165,197,160,316,277,285,223,3,0,0,1,1,,,,,,
2,7275381,-4,12,-1,0,0,0,0,0,0,0,0,1,1,-3,1000,-2,8,0,0,1199,142,-209,639,-1,-2,1,-9,5,5,92,4,2035,217,188,197,159,316,274,285,263,3,0,0,1,1,,,,,,
3,7277349,-4,11,-4,0,0,0,1,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1199,141,-208,641,-2,0,3,1,-4,12,73,-12,2018,214,178,198,159,315,314,286,263,3,0,0,1,1,,,,,,
4,7279316,-4,10,-4,0,0,0,0,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1199,142,-208,640,0,0,-2,-17,-16,1,77,-4,2011,213,183,198,161,315,354,286,262,3,0,0,1,1,,,,,,
5,7281287,-4,11,0,0,0,0,0,0,0,0,0,1,1,-3,1000,-2,8,0,0,1199,142,-208,637,-1,-2,0,-36,7,4,87,17,2041,213,180,196,158,317,394,279,262,3,0,0,1,1,,,,,,
6,7283261,-4,12,-4,0,0,0,1,0,0,0,0,1,1,-3,1000,-2,8,0,0,1198,140,-207,636,5,-2,-1,-20,16,16,77,10,2008,202,181,197,161,318,393,319,262,3,0,0,1,1,,,,,,
7,7285236,-2,12,-4,0,0,0,2,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1196,141,-237,635,2,-3,0,-28,7,15,77,22,2017,199,173,209,161,321,395,319,302,3,0,0,1,1,,,,,,
8,7287210,-3,12,1,0,0,0,1,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1196,142,-236,632,3,-1,-2,-35,1,18,75,39,2026,192,178,201,160,322,358,351,-3651167,3,0,0,1,1,,,,,,
9,7291152,-4,12,-1,0,0,0,0,0,0,0,0,1,1,-3,1000,-2,8,0,0,1196,142,-236,633,3,-3,1,-30,6,23,85,28,2017,195,173,204,158,322,398,351,-3651168,3,0,0,1,1,,,,,,
10,7295097,-4,12,-4,0,0,0,1,0,0,0,0,1,1,-3,1000,-2,8,0,0,1196,143,-236,635,2,-2,0,-19,13,23,83,16,2008,193,175,205,162,321,438,346,-3651166,3,0,0,1,1,,,,,,
11,7299045,-4,11,-2,0,0,0,1,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1195,142,-237,635,0,-4,0,-27,-2,10,93,7,2013,198,173,205,160,320,438,386,-3651167,3,0,0,1,1,,,,,,
12,7302993,-4,11,-2,0,0,0,0,-1,0,0,0,1,1,-3,1000,-2,8,0,0,1194,143,-237,635,1,-2,1,-22,12,13,84,13,2022,200,174,203,159,320,438,426,-3651166,3,0,0,1,1,,,,,,
13,7306940,-5,11,-4,0,0,0,0,0,0,0,0,1,1,-3,1000,-2,8,0,0,1194,144,-237,636,0,-4,1,-23,11,-4,99,8,2011,199,171,204,161,320,478,426,-3651166,3,0,0,1,1,,,,,,
14,7310888,-4,13,-4,0,0,0,1,0,0,0,0,1,1,-3,1000,-2,8,0,0,1194,144,-237,636,0,-3,1,-26,11,-1,95,2,2023,199,171,204,160,320,518,425,-3651165,3,0,0,1,1,,,,,,
15,7314836,-4,11,-3,0,0,0,1,-3,0,0,0,1,1,-3,1000,-2,8,0,0,1194,144,-237,634,-1,-2,-1,-8,-3,2,80,10,2011,199,173,204,160,320,558,426,-3651165,3,0,0,1,1,,,,,,
