loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],debug[4],debug[5],debug[6],debug[7],motor[0],motor[1],motor[2],motor[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,29625152,0,1,1,0,0,0,-2,0,0,0,0,3,6,-1,1000,0,1,0,0,1403,300,749,0,0,0,1,-1,0,17,4,2061,143,260,287,1,0,0,0,0,168,160,158,158,,,,,,,,,,,
1,29626150,1,1,1,0,0,0,-1,0,0,0,0,3,6,-1,1000,0,1,0,0,1403,300,749,0,-2,2,1,1,-6,12,13,2079,143,259,287,1,0,0,-6,-2,169,162,198,151,1,0,0,1,1,,,,,,
2,29627150,1,1,1,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1403,300,749,1,0,-1,1,1,-4,17,8,2070,143,259,287,1,0,0,-2,-1,178,164,218,156,0,0,0,0,-2,,,,,,
3,29628149,1,1,1,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1403,300,749,1,-1,1,2,2,-5,8,13,2080,143,259,287,1,0,0,-5,-1,171,159,248,153,0,0,0,0,-2,,,,,,
4,29629149,1,1,1,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1402,325,749,1,0,0,1,1,-11,21,16,2079,143,268,287,1,0,0,-3,-3,174,156,233,194,0,0,0,0,-2,,,,,,
5,29630148,1,1,1,0,0,0,-1,0,0,0,0,3,6,-1,1000,0,1,0,0,1402,325,749,2,0,0,2,-3,-9,9,14,2079,143,263,287,1,0,0,-1,1,172,157,280,175,0,0,0,0,-2,,,,,,
6,29631146,2,1,1,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1402,325,749,1,0,1,1,3,-15,15,17,2079,146,265,287,1,0,0,-4,-3,174,156,296,184,0,0,0,0,-2,,,,,,
7,29632145,2,1,2,0,0,0,0,1,0,0,0,3,6,-1,1000,0,1,0,0,1402,325,749,1,1,0,0,0,-15,11,17,2085,144,264,287,1,0,0,1,-1,177,159,328,178,0,0,0,0,-2,,,,,,
8,29633143,2,1,2,0,0,0,0,1,0,0,0,3,6,-1,1000,0,1,0,0,1402,325,749,1,-1,0,1,2,-14,1,17,2082,145,264,287,1,0,0,3,-2,175,157,352,182,0,0,0,0,-2,,,,,,
9,29634141,2,1,3,0,0,0,1,1,0,0,0,3,6,-1,1000,0,1,0,0,1401,308,749,1,-1,1,1,0,-7,6,13,2084,146,264,287,1,0,0,2,-3,176,159,345,220,0,0,0,0,-2,,,,,,
10,29635138,1,1,3,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1401,308,750,1,-2,-1,1,1,-12,-10,16,2084,145,264,287,1,0,0,2,2,167,154,388,201,0,0,0,0,-2,,,,,,
11,29636134,1,1,3,0,0,0,1,0,0,0,0,3,6,-1,1000,0,1,0,0,1401,308,749,1,-2,0,1,12,-14,5,14,2084,145,263,287,1,0,0,4,-2,180,163,406,211,0,0,0,0,-2,,,,,,
12,29637130,1,1,3,0,0,0,0,0,0,0,0,3,6,-1,1000,0,1,0,0,1401,308,749,1,-2,1,1,10,-12,3,15,2084,145,263,287,1,0,0,4,0,170,154,437,206,0,0,0,0,-2,,,,,,
13,29638127,1,1,3,0,0,0,0,-1,0,0,0,3,6,-1,1000,0,1,0,0,1401,308,750,2,-2,0,2,2,-8,22,14,2084,145,263,287,1,0,0,0,-1,175,161,461,207,0,0,0,0,-2,,,,,,
14,29639125,0,2,3,0,0,0,-1,0,0,0,0,3,6,-1,1000,0,1,0,0,1400,293,750,0,-1,0,0,7,-22,21,21,2084,145,263,287,1,0,0,2,8,175,161,442,246,0,0,0,0,-2,,,,,,
15,29640125,1,2,2,0,0,0,-1,-1,0,0,0,3,6,-1,1000,0,1,0,0,1400,293,750,2,0,1,0,5,-15,28,17,2075,145,263,287,1,0,0,-5,6,176,161,491,227,0,0,0,0,-2,,,,,,
16,29641124,1,3,2,0,0,0,-1,0,0,0,0,3,6,-1,1000,0,1,0,0,1400,293,750,0,-1,-1,0,2,-33,20,19,2063,144,263,287,1,0,0,1,5,181,161,429,300,0,0,0,0,-2,,,,,,
17,29643118,1,3,3,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1400,293,750,0,0,-2,-1,3,-23,20,18,2069,144,263,287,1,0,0,1,0,180,162,500,260,0,0,0,0,-2,,,,,,
18,29645114,1,2,4,0,0,0,-1,0,0,0,0,3,6,-1,1000,0,1,0,0,1400,293,750,-1,0,1,0,5,-26,17,18,2059,144,262,287,1,0,0,-4,2,171,166,504,280,0,0,0,0,-2,,,,,,
19,29647111,1,2,4,0,0,0,-2,1,0,0,0,3,6,-1,1000,0,1,0,0,1399,292,750,0,0,0,-2,5,-29,31,0,2063,132,261,288,1,0,0,-1,5,175,162,499,310,0,0,0,0,-2,,,,,,
20,29649108,1,3,4,0,0,0,-2,2,0,0,0,3,6,-1,1000,0,1,0,0,1399,292,750,0,0,-1,0,16,-20,22,9,2061,138,261,287,1,0,0,0,5,174,161,541,295,0,0,0,0,-2,,,,,,
21,29651105,2,2,3,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1399,292,750,1,0,2,0,18,-38,23,4,2058,135,261,287,1,0,0,-7,4,178,161,560,302,0,0,0,0,-2,,,,,,
22,29653103,2,2,3,0,0,0,0,2,0,0,0,3,6,-1,1000,0,1,0,0,1399,292,750,0,0,-2,-1,15,-36,17,7,2067,137,261,287,1,0,0,0,3,183,161,590,297,0,0,0,0,-2,,,,,,
23,29655101,2,2,4,0,0,0,0,2,0,0,0,3,6,-1,1000,0,1,0,0,1399,292,750,0,0,1,-1,23,-32,23,5,2062,136,260,287,1,0,0,-5,3,180,164,615,299,0,0,0,0,-2,,,,,,
24,29657099,2,2,5,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1398,287,750,0,-1,0,0,19,-34,22,5,2064,138,262,287,1,0,0,-2,1,181,153,602,338,0,0,0,0,-2,,,,,,
25,29659098,3,2,6,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1398,287,751,-1,1,-2,0,13,-30,23,6,2059,140,262,287,1,0,0,0,4,177,162,648,317,0,0,0,0,-2,,,,,,
26,29661097,3,2,6,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1398,287,751,0,-1,1,1,15,-36,17,5,2061,139,262,287,1,0,0,1,3,179,158,665,328,0,0,0,0,-2,,,,,,
27,29663095,3,2,5,0,0,0,-1,3,0,0,0,3,6,-1,1000,0,1,0,0,1398,287,750,0,0,-2,0,8,-35,26,5,2058,140,262,287,1,0,0,2,1,187,157,696,322,0,0,0,0,-2,,,,,,
28,29665093,3,2,4,0,0,0,-1,3,0,0,0,3,6,-1,1000,0,1,0,0,1398,287,750,1,0,-1,0,12,-37,28,4,2057,141,262,287,1,0,0,1,2,189,157,720,326,0,0,0,0,-2,,,,,,
29,29667093,3,2,3,0,0,0,-2,3,0,0,0,3,6,-1,1000,0,1,0,0,1397,290,750,0,0,-2,2,10,-30,31,13,2057,140,262,287,1,0,0,1,1,190,156,706,364,0,0,0,0,-2,,,,,,
30,29669096,3,2,3,0,0,0,-2,3,0,0,0,3,6,-1,1000,0,1,0,0,1397,290,750,-1,0,-1,0,4,-28,34,8,2056,141,262,287,1,0,0,2,2,186,156,753,345,0,0,0,0,-2,,,,,,
31,29671099,3,2,3,0,0,0,-2,2,0,0,0,3,6,-1,1000,0,1,0,0,1397,290,750,-1,0,-1,0,6,-33,33,10,2054,140,262,287,1,0,0,-4,-1,180,158,769,355,0,0,0,0,-2,,,,,,
32,29673101,3,2,3,0,0,0,-2,3,0,0,0,3,6,-1,1000,0,1,0,0,1397,290,750,-1,0,0,1,9,-27,27,9,2055,140,262,287,1,0,0,4,0,186,159,724,478,0,0,0,0,-2,,,,,,
33,29676096,3,2,3,0,0,0,-2,3,0,0,0,3,6,-1,1000,0,1,0,0,1397,290,750,-1,1,0,0,5,-28,30,9,2054,140,262,287,1,0,0,0,0,184,159,786,417,0,0,0,0,-2,,,,,,
