loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8975199,6,24,0,0,0,0,1,0,0,0,0,10,1,1,1000,4,14,0,0,1122,247,-501,594,0,0,1,-1,-1,2,110,-6,2047,254,148,280,179,334,187,365,227,,,,,,,,,,,
1,8977167,6,24,-1,0,0,0,0,-2,0,0,0,10,1,1,1000,4,14,0,0,1121,245,-501,594,-1,1,2,-1,-4,2,102,-18,2047,237,145,282,179,335,186,405,227,3,0,0,1,1,,,,,,
2,8979136,6,23,-1,0,0,0,-1,-2,0,0,0,10,1,1,1000,4,14,0,0,1121,245,-500,594,0,0,-1,-5,-21,-2,100,-12,2046,245,146,281,179,336,226,404,226,3,0,0,1,1,,,,,,
3,8981106,6,22,-1,0,0,0,-1,-4,0,0,0,10,1,1,1000,4,14,0,0,1121,245,-500,594,-1,0,1,-9,-24,5,102,-15,2044,238,145,281,179,338,266,402,227,3,0,0,1,1,,,,,,
4,8983078,6,22,-1,0,0,0,-1,-3,0,0,0,10,1,1,1000,4,14,0,0,1121,245,-500,594,1,0,-1,-7,-12,1,102,-13,2048,242,145,281,180,338,306,401,225,3,0,0,1,1,,,,,,
5,8985050,6,22,-1,0,0,0,0,-2,0,0,0,10,1,1,1000,4,14,0,0,1120,244,-499,594,0,-2,0,-6,-5,14,104,-3,2046,242,139,280,179,337,306,441,226,3,0,0,1,1,,,,,,
6,8987021,7,23,-1,0,0,0,2,-3,0,0,0,10,1,1,1000,4,14,0,0,1120,244,-499,595,1,-1,1,-20,-7,11,97,-8,2056,266,142,280,177,335,346,441,226,3,0,0,1,1,,,,,,
7,8988992,7,24,0,0,0,0,1,-1,0,0,0,10,1,1,1000,4,14,0,0,1120,244,-499,593,0,-1,-2,2,-8,15,101,-5,2048,239,140,280,179,336,386,442,226,3,0,0,1,1,,,,,,
8,8990962,7,24,0,0,0,0,0,-1,0,0,0,10,1,1,1000,4,14,0,0,1120,244,-499,594,0,0,2,2,-17,16,101,-6,2052,244,139,281,178,337,349,474,-4503120,3,0,0,1,1,,,,,,
9,8994901,7,24,-1,0,0,0,0,-2,0,0,0,10,1,1,1000,4,14,0,0,1119,245,-499,594,0,0,-1,0,-26,26,101,-4,2050,232,138,279,177,340,349,514,-4503121,3,0,0,1,1,,,,,,
10,8998840,7,24,0,0,0,0,1,-2,0,0,0,10,1,1,1000,4,14,0,0,1119,245,-499,593,0,-1,2,9,-27,18,104,-5,2063,239,138,281,173,339,389,514,-4503120,3,0,0,1,1,,,,,,
11,9002780,7,24,0,0,0,0,0,-2,0,0,0,10,1,1,1000,4,14,0,0,1119,245,-499,594,0,0,1,5,-22,17,107,-4,2062,242,139,280,175,338,429,513,-4503120,3,0,0,1,1,,,,,,
12,9006720,7,24,1,0,0,0,1,-1,0,0,0,10,1,1,1000,4,14,0,0,1119,245,-500,593,0,0,-2,13,-36,22,110,-4,2071,241,139,279,178,339,469,513,-4503120,3,0,0,1,1,,,,,,
13,9010661,7,24,1,0,0,0,2,0,0,0,0,10,1,1,1000,4,14,0,0,1119,245,-500,592,0,-1,3,0,-30,19,106,-4,2066,236,139,279,176,340,509,512,-4503120,3,0,0,1,1,,,,,,
14,9014602,7,24,0,0,0,0,2,0,0,0,0,10,1,2,1000,4,14,0,0,1119,245,-499,594,1,0,-2,3,-17,21,109,-4,2057,243,136,278,176,340,549,513,-4503121,3,0,0,1,1,,,,,,
15,9018542,8,24,1,0,0,0,5,3,0,0,0,10,1,2,1000,4,14,0,0,1119,245,-499,592,-1,0,0,18,-34,13,120,-4,2093,249,136,279,173,340,589,513,-4503120,3,0,0,1,1,,,,,,
16,9022482,8,24,1,0,0,0,4,1,0,0,0,10,1,2,1000,4,14,0,0,1119,244,-500,593,0,-1,1,11,-24,12,113,-4,2073,244,137,277,173,340,552,577,15972,3,0,0,1,1,,,,,,
