loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,28895163,-1,13,-3,0,0,0,-1,-1,0,0,0,11,1,1,1000,0,9,0,0,1175,117,-1605,612,0,1,4,1,0,4,50,4,2047,213,158,195,164,305,223,301,225,,,,,,,,,,,
1,28897132,-2,13,-4,0,0,0,-3,0,0,0,0,11,1,1,1000,0,9,0,0,1175,118,-1606,610,0,1,0,1,7,5,62,6,2046,207,156,195,164,304,263,300,226,3,0,0,1,1,,,,,,
2,28899102,-1,14,0,0,0,0,-1,1,0,0,0,11,1,2,1000,0,9,0,0,1175,118,-1607,606,0,0,0,16,1,6,55,9,2080,210,156,193,161,304,303,299,227,3,0,0,1,1,,,,,,
3,28901073,-1,12,-3,0,0,0,-1,-3,0,0,0,11,1,2,1000,0,9,0,0,1175,117,-1606,611,0,2,6,0,10,-2,40,3,2040,222,158,194,163,304,343,298,226,3,0,0,1,1,,,,,,
4,28903045,-2,13,-3,0,0,0,-4,-2,0,0,0,11,1,2,1000,0,9,0,0,1174,118,-1605,612,-2,2,2,3,-10,-2,54,15,2064,197,143,191,161,305,342,338,225,3,0,0,1,1,,,,,,
5,28905018,-2,14,1,0,0,0,-3,1,0,0,0,11,1,2,1000,0,9,0,0,1175,142,-1605,611,-5,2,4,1,15,-3,51,28,2067,256,150,191,161,302,344,378,226,3,0,0,1,1,,,,,,
6,28906988,-1,13,-4,0,0,0,-2,-2,0,0,0,11,1,2,1000,0,9,0,0,1175,141,-1604,617,-3,2,10,4,20,1,35,1,2045,240,150,192,163,302,384,380,226,3,0,0,1,1,,,,,,
7,28908957,-2,12,-3,0,0,0,-4,-2,0,0,0,11,1,2,1000,0,9,0,0,1175,142,-1604,615,-3,2,1,2,8,4,39,14,2036,245,151,192,165,301,424,381,226,3,0,0,1,1,,,,,,
8,28910925,-2,13,2,0,0,0,-4,0,0,0,0,11,1,2,1000,0,9,0,0,1174,143,-1604,615,-9,1,5,1,21,-17,38,19,2064,279,142,191,163,298,426,344,258,3,0,0,1,1,,,,,,
9,28914861,-2,13,-3,0,0,0,-3,-1,0,0,0,11,1,2,1000,0,9,0,0,1173,142,-1604,615,0,2,3,6,12,8,25,12,2030,244,149,190,165,299,425,384,259,3,0,0,1,1,,,,,,
