loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7567266,5,3,0,0,0,0,0,-2,0,0,0,10,1,1,1000,3,3,0,0,1199,0,-307,605,0,1,-1,0,-1,-1,43,-38,2015,162,158,180,173,245,216,270,252,,,,,,,,,,,
1,7569234,5,4,1,0,0,0,0,1,0,0,0,10,1,1,1000,3,3,0,0,1198,1,-307,604,0,1,1,1,-6,16,37,-27,2015,177,159,179,173,243,213,310,253,3,0,0,1,1,,,,,,
2,7571200,5,4,0,0,0,0,-1,2,0,0,0,10,1,1,1000,3,3,0,0,1198,1,-307,604,0,1,0,-12,2,10,42,-32,2017,173,157,179,173,242,253,312,253,3,0,0,1,1,,,,,,
3,7573165,5,4,0,0,0,0,-1,2,0,0,0,10,1,1,1000,3,3,0,0,1199,165,-307,604,0,1,0,-5,-6,-2,38,-24,2016,172,155,179,173,244,254,352,253,3,0,0,1,1,,,,,,
4,7575131,4,4,0,0,0,0,-2,0,0,0,0,10,1,1,1000,3,3,0,0,1199,165,-307,604,0,1,-1,2,1,15,29,-28,2001,165,156,179,173,244,294,351,254,3,0,0,1,1,,,,,,
5,7577097,4,3,0,0,0,0,-3,0,0,0,0,10,1,1,1000,3,3,0,0,1198,166,-307,605,-1,1,1,0,3,12,43,-32,2008,165,154,179,173,243,294,391,255,3,0,0,1,1,,,,,,
6,7579062,4,3,-1,0,0,0,-3,0,0,0,0,10,1,1,1000,3,3,0,0,1197,164,-307,605,0,1,0,1,-18,16,29,-22,2004,171,159,178,173,242,293,431,255,3,0,0,1,1,,,,,,
7,7581027,4,4,-1,0,0,0,-3,1,0,0,0,10,1,1,1000,3,3,0,0,1197,164,-308,605,1,1,-1,2,-15,11,47,-27,2016,167,156,178,174,241,333,432,255,3,0,0,1,1,,,,,,
8,7582991,5,3,-1,0,0,0,-3,-2,0,0,0,10,1,1,1000,3,3,0,0,1198,117,-309,605,0,2,1,1,-2,1,40,-46,2010,153,158,179,173,242,334,395,287,3,0,0,1,1,,,,,,
9,7586924,3,2,-2,0,0,0,-4,-1,0,0,0,10,1,1,1000,3,3,0,0,1198,118,-309,605,0,2,1,2,-9,9,43,-38,2002,149,157,178,172,242,374,394,288,4044,0,0,1,0,,,,,,
10,7590858,3,2,-2,0,0,0,-3,-1,0,0,0,10,1,1,1000,3,3,0,0,1197,117,-309,605,0,2,-1,1,-22,9,58,-29,2006,166,162,176,172,240,373,434,287,4044,0,0,1,0,,,,,,
11,7594792,3,1,-2,0,0,0,-2,-2,0,0,0,10,1,1,1000,3,3,0,0,1197,117,-309,605,0,4,0,-4,3,3,44,-33,2005,163,159,178,173,240,413,436,288,4044,0,0,1,0,,,,,,
12,7598722,2,-1,-2,0,0,0,-4,-5,0,0,0,10,1,1,1000,3,3,0,0,1197,117,-309,605,0,4,0,22,-20,11,32,-30,1975,154,163,178,174,241,453,439,288,4044,0,0,1,0,,,,,,
13,7602651,1,-1,-2,0,0,0,-5,-4,0,0,0,10,1,1,1000,3,3,0,0,1197,117,-308,605,0,4,0,8,-17,10,40,-31,1987,155,160,179,173,241,493,439,288,4044,0,0,1,0,,,,,,
14,7606581,2,-1,-2,0,0,0,-4,-3,0,0,0,10,1,1,1000,3,3,0,0,1197,117,-308,605,0,4,0,-2,-5,19,52,-30,2006,163,160,178,170,240,533,438,289,4044,0,0,1,0,,,,,,
