loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8897406,18,14,0,0,0,0,6,6,0,0,0,10,43,2,1000,12,10,0,0,1606,164,-419,584,0,0,0,1,-2,-3,77,-69,2031,229,148,319,243,386,267,505,402,,,,,,,,,,,
1,8899374,20,15,1,0,0,0,5,9,0,0,0,10,43,2,1000,12,10,0,0,1605,161,-420,584,-1,-1,2,1,0,-16,67,-59,2031,249,147,317,244,384,269,545,402,3,7,0,1,1,30,126911722,126911728,9316,4,0
2,8901343,19,14,-1,0,0,0,1,2,0,0,0,10,37,2,1000,12,10,0,0,1605,162,-418,586,2,2,5,-34,11,-15,23,-64,1941,209,150,318,250,388,309,544,401,3,7,0,1,1,30,126911722,126911728,9316,4,0
3,8903312,21,14,-1,0,0,0,8,4,0,0,0,10,37,2,1000,12,10,0,0,1605,161,-418,584,-2,0,-2,23,-1,-14,54,-61,2029,262,143,316,238,385,349,544,402,3,7,0,1,1,30,126911722,126911728,9316,4,0
4,8905282,21,14,-1,0,0,0,5,5,0,0,0,10,37,2,1000,12,10,0,0,1605,161,-419,585,2,-2,4,-6,0,2,63,-62,2008,231,145,318,244,386,313,1282,417,3,7,0,1,1,30,126911722,126911728,9316,4,0
5,8907251,21,13,0,0,0,0,4,1,0,0,0,10,37,2,1000,12,10,0,0,1605,161,-419,584,-1,-1,-2,25,1,-6,42,-61,1995,236,145,317,248,389,353,1282,416,3,7,0,1,1,30,126911722,126911728,9316,4,0
6,8909220,20,11,-1,0,0,0,2,1,0,0,0,10,37,2,1000,12,10,0,0,1603,163,-301,586,1,-1,2,9,2,-19,86,-39,1994,233,114,304,247,388,353,1283,456,3,7,0,1,1,8,126911724,126911729,6,80,0
7,8911188,22,13,0,0,0,0,7,6,0,0,0,10,37,2,1000,12,10,0,0,1607,162,-302,585,-1,-2,0,16,23,-54,39,-25,1994,301,166,307,247,379,349,1323,456,3,7,0,1,1,8,126911724,126911729,6,80,0
8,8913156,22,13,1,0,0,0,5,5,0,0,0,10,37,2,1000,12,10,0,0,1607,161,-303,584,0,0,-1,23,24,-38,67,-32,1992,257,139,306,252,383,312,1355,4464905,3,7,0,1,1,8,126911724,126911729,6,80,0
9,8917092,21,10,0,0,0,0,2,-4,0,0,0,10,26,2,1000,12,10,0,0,1607,161,-301,585,1,-2,1,6,44,-49,10,-28,1935,273,155,306,252,387,352,1355,4464904,3,7,0,1,1,8,126911724,126911729,6,80,0
10,8921028,22,12,1,0,0,0,8,5,0,0,0,10,26,2,1000,12,10,0,0,1607,162,-302,584,-2,0,-2,53,21,-22,91,-30,2038,286,141,306,240,383,392,1355,4464906,3,7,0,1,1,8,126911724,126911729,6,80,0
11,8924965,23,10,1,0,0,0,6,-1,0,0,0,10,26,2,1000,12,10,0,0,1603,160,-284,575,-1,-1,0,30,32,-33,58,-41,1973,248,148,286,254,382,393,1358,4464908,3,7,0,1,1,8,126911724,126911729,6,80,0
12,8928901,21,12,1,0,0,0,1,4,0,0,0,10,26,2,1000,12,10,0,0,1603,161,-285,574,-2,-2,-6,50,36,-21,81,-35,1982,236,147,296,254,385,433,1358,4464908,3,7,0,1,1,8,126911724,126911729,6,80,0
13,8932837,20,10,-1,0,0,0,-2,0,0,0,0,10,26,2,1000,12,10,0,0,1602,164,-285,576,0,1,-1,44,5,-17,68,-67,1977,194,138,292,254,386,433,1398,4464908,3,7,0,1,1,8,126911724,126911729,6,80,0
14,8936774,20,10,1,0,0,0,1,4,0,0,0,10,26,2,1000,12,10,0,0,1602,165,-285,574,-4,0,-5,69,27,-21,86,-51,2006,220,138,295,246,383,473,1397,4464910,3,7,0,1,1,8,126911724,126911729,6,80,0
15,8940711,21,11,0,0,0,0,-1,8,0,0,0,10,26,2,1000,12,10,0,0,1602,164,-286,574,0,0,-3,61,-1,-12,111,-59,2031,218,134,293,251,382,513,1397,4464909,3,7,0,1,1,8,126911724,126911729,6,80,0
16,8944648,20,9,1,0,0,0,-3,-1,0,0,0,10,26,2,1000,12,10,0,0,1602,164,-285,573,-4,0,-3,36,7,-3,38,-55,1944,197,140,295,255,384,553,1398,4464908,3,7,0,1,1,8,126911724,126911729,6,80,0
128,8960389,18,11,-1,0,0,0,-1,4,0,0,0,10,8,2,1000,12,7,0,0,1608,205,-428,583,0,-1,1,0,-2,-1,34,-55,2073,212,148,273,218,373,266,515,426,3,7,0,1,1,8,126911724,126911729,6,80,0
129,8962358,20,11,-1,0,0,0,5,5,0,0,0,10,8,2,1000,12,7,0,0,1608,204,-428,582,-2,2,-1,19,-30,-3,36,-55,2107,241,140,273,208,370,306,513,428,3,7,0,1,1,8,126911724,126911729,6,80,0
130,8964328,18,11,-1,0,0,0,-2,7,0,0,0,10,8,2,1000,12,7,0,0,1608,204,-428,582,1,-2,1,4,-9,5,31,-55,2068,202,150,274,219,374,346,515,426,3,7,0,1,1,8,126911724,126911729,6,80,0
131,8966295,18,10,-1,0,0,0,-1,3,0,0,0,10,3,2,1000,12,7,0,0,1607,208,-428,582,1,0,2,11,-30,0,14,-72,2087,187,133,273,213,376,350,555,427,3,7,0,1,1,8,126911724,126911729,6,80,0
132,8968262,19,10,0,0,0,0,2,6,0,0,0,10,3,2,1000,12,7,0,0,1607,208,-427,581,2,-4,-2,29,-4,1,22,-63,2095,214,140,271,209,372,390,555,427,3,7,0,1,1,8,126911724,126911729,6,80,0
133,8970230,20,11,0,0,0,0,3,6,0,0,0,10,3,2,1000,12,7,0,0,1608,238,-428,580,1,-3,1,23,13,-16,12,-40,2091,243,146,267,212,367,393,595,426,3,7,0,1,1,8,126911724,126911729,6,80,0
134,8972198,19,10,-1,0,0,0,0,2,0,0,0,10,3,2,1000,12,7,0,0,1608,239,-428,580,2,-5,-5,-6,23,-24,-9,-51,2043,213,147,270,215,369,433,595,425,3,7,0,1,1,8,126911724,126911729,6,80,0
135,8974167,17,9,0,0,0,0,-3,2,0,0,0,10,3,2,1000,12,7,0,0,1608,241,-427,579,1,-1,3,-19,8,-27,-18,-45,2025,195,146,267,211,369,473,594,426,3,7,0,1,1,105,126911698,126911728,1,14,8
136,8976136,19,11,-1,0,0,0,5,7,0,0,0,10,3,2,1000,12,7,0,0,1608,239,-428,579,-1,-5,-4,22,14,-1,28,-48,2117,258,141,268,203,364,436,690,4496366,3,7,0,1,1,105,126911698,126911728,1,14,8
137,8980073,19,12,0,0,0,0,2,11,0,0,0,10,3,2,1000,12,7,0,0,1608,240,-429,578,2,-1,2,6,16,-13,18,-46,2077,207,143,268,209,364,476,691,4496365,3,7,0,1,1,105,126911698,126911728,1,14,8
