loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8941495,11,17,2,0,0,0,4,0,0,0,0,11,1,1,1000,7,11,0,0,1548,188,-496,644,-1,0,-1,-2,0,0,75,-67,2050,215,158,279,210,410,280,476,355,,,,,,,,,,,
1,8943463,11,15,3,0,0,0,3,-4,0,0,0,11,1,1,1000,7,11,0,0,1547,189,-496,645,-2,1,1,-1,-12,17,65,-94,2050,188,149,282,209,413,281,516,356,3,0,0,1,1,,,,,,
2,8945430,9,17,1,0,0,0,0,0,0,0,0,11,1,1,1000,7,11,0,0,1547,190,-497,647,1,-3,3,9,16,8,106,-80,2044,180,150,280,210,414,321,516,356,3,0,0,1,1,,,,,,
3,8947398,11,17,1,0,0,0,6,-1,0,0,0,11,1,1,1000,7,11,0,0,1547,189,-498,647,-2,0,-1,10,-23,9,95,-87,2081,219,149,281,205,410,361,515,357,3,0,0,1,1,,,,,,
4,8949366,12,18,5,0,0,0,5,-2,0,0,0,11,1,1,1000,7,11,0,0,1546,188,-499,647,-5,0,1,8,-11,-9,101,-119,2062,193,137,289,207,416,362,555,358,3,0,0,1,1,,,,,,
5,8951333,11,18,2,0,0,0,1,-4,0,0,0,11,1,1,1000,7,11,0,0,1544,191,-605,648,-2,5,1,9,-11,-9,128,-104,2077,206,104,268,202,416,364,558,398,3,0,0,1,1,,,,,,
6,8953300,21,35,-2,0,0,0,-4,-6,40,1,1,11,1,1,1000,7,11,0,0,1544,195,-601,648,-3,2,1,8,-11,-10,113,-112,2067,198,115,303,187,416,398,558,444,3,0,0,1,1,,,,,,
7,8955266,23,37,2,0,0,0,-1,-5,40,1,1,11,1,1,1000,7,11,0,0,1543,191,-602,647,-7,1,2,6,-2,-34,122,-105,2072,247,124,286,194,412,395,598,444,3,0,0,1,1,,,,,,
8,8957233,22,37,2,0,0,0,-4,-9,40,1,1,11,1,1,1000,7,11,0,0,1542,193,-601,648,-4,2,3,6,-29,-11,111,-151,2069,173,97,300,190,418,399,638,443,3,0,0,1,1,,,,,,
64,8972988,10,16,-2,0,0,0,-2,0,0,0,0,11,1,2,1000,7,11,0,0,1549,82,-496,644,0,0,3,0,0,5,71,-25,2027,226,158,249,195,409,280,479,356,3,0,0,1,1,,,,,,
65,8974957,10,18,-3,0,0,0,-1,3,0,0,0,11,1,2,1000,7,11,0,0,1549,82,-497,643,-1,-1,-1,13,1,9,93,-25,2051,235,151,250,189,408,320,478,357,3,0,0,1,1,,,,,,
66,8976927,10,17,0,0,0,0,1,0,0,0,0,11,1,2,1000,7,11,0,0,1547,81,-321,642,0,-3,1,6,-1,7,48,-28,2016,230,158,251,193,407,320,479,397,3,0,0,1,1,,,,,,
67,8978897,9,15,0,0,0,0,-2,-4,0,0,0,11,1,2,1000,7,11,0,0,1547,81,-319,643,1,-2,1,-12,19,17,32,-26,1984,216,156,250,194,412,360,479,397,3,0,0,1,1,,,,,,
68,8980868,7,16,-2,0,0,0,-3,3,0,0,0,11,1,2,1000,7,11,0,0,1547,82,-320,646,-2,-1,4,21,22,28,93,-27,2021,219,149,250,190,412,400,478,397,3,0,0,1,1,,,,,,
69,8982839,8,15,0,0,0,0,1,1,0,0,0,11,1,2,1000,7,11,0,0,1547,82,-320,644,0,0,-5,6,-7,18,51,-26,2020,236,154,250,194,410,440,479,398,3,0,0,1,1,,,,,,
70,8984809,8,14,2,0,0,0,-1,-1,0,0,0,11,1,2,1000,7,11,0,0,1546,83,-321,644,-4,1,1,16,-1,15,59,-56,2020,208,136,254,192,414,443,519,398,3,0,0,1,1,,,,,,
71,8986778,8,16,0,0,0,0,0,4,0,0,0,11,1,2,1000,7,11,0,0,1545,84,-320,643,1,-2,-4,11,16,19,55,8,2020,250,156,247,192,411,441,559,398,3,0,0,1,1,0,1,2,3,80,2
128,9004481,11,17,1,0,0,0,5,1,0,0,0,11,1,2,1000,7,11,0,0,1547,76,-505,644,-1,0,-2,-1,0,-4,77,-64,2033,222,158,284,215,408,280,470,353,3,0,0,1,1,0,1,2,3,80,2
129,9006450,10,17,4,0,0,0,3,-3,0,0,0,11,1,2,1000,7,11,0,0,1547,77,-505,642,1,0,-4,-10,0,2,51,-64,2009,201,162,284,220,407,320,469,352,3,0,0,1,1,0,1,2,3,80,2
130,9008420,9,18,1,0,0,0,0,-1,0,0,0,11,1,2,1000,7,11,0,0,1546,79,-504,642,5,-1,-3,3,-8,29,70,-47,2021,188,145,282,217,407,322,509,351,3,0,0,1,1,0,1,2,3,80,2
131,9010390,10,18,1,0,0,0,4,1,0,0,0,11,1,2,1000,7,11,0,0,1545,78,-504,642,2,0,-4,-11,32,-8,54,-26,2015,237,188,282,218,403,316,549,352,3,0,0,1,1,0,1,2,3,80,2
132,9012359,10,17,5,0,0,0,4,-3,0,0,0,11,1,2,1000,7,11,0,0,1546,319,-504,641,-1,0,-3,0,-16,10,59,-76,2018,201,148,288,216,408,318,589,352,3,0,0,1,1,0,1,2,3,80,2
133,9014329,9,17,2,0,0,0,2,-1,0,0,0,11,1,2,1000,7,11,0,0,1546,320,-503,645,0,0,-2,-12,27,8,59,-51,1989,215,169,284,217,410,358,588,352,3,0,0,1,1,0,1,2,3,80,2
134,9016299,9,18,2,0,0,0,4,1,0,0,0,11,1,2,1000,7,11,0,0,1546,320,-504,645,2,0,-2,21,4,11,91,-63,2035,220,151,287,207,407,398,588,354,3,0,0,1,1,0,1,2,3,80,2
135,9018270,11,19,4,0,0,0,7,0,0,0,0,11,1,2,1000,7,11,0,0,1546,319,-505,642,-1,-1,-7,-3,-8,16,56,-57,2029,233,166,284,212,407,438,587,354,3,0,0,1,1,0,1,2,3,80,2
