loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,15150363,-2,-23,4,0,0,0,0,3,0,0,0,11,1,2,1000,-1,-16,0,0,1670,117,-1652,700,0,0,-3,2,-2,0,-103,34,2081,148,242,157,218,305,485,284,476,,,,,,,,,,,
1,15152331,-2,-22,2,0,0,0,2,5,0,0,0,11,1,2,1000,-1,-16,0,0,1670,117,-1653,703,-4,2,-1,-12,3,-4,-103,13,2083,144,243,157,217,304,525,284,478,3,0,0,1,1,,,,,,
2,15154299,-3,-23,0,0,0,0,-1,2,0,0,0,11,1,2,1000,-1,-16,0,0,1670,116,-1653,705,1,1,-1,-4,-4,-4,-93,42,2071,177,240,154,217,300,565,283,477,3,0,0,1,1,,,,,,
3,15156268,-3,-22,5,0,0,0,-1,8,0,0,0,11,1,2,1000,-1,-16,0,0,1671,257,-1653,705,-5,-1,-1,-13,-10,-13,-117,16,2063,160,200,154,220,300,568,323,477,3,0,0,1,1,,,,,,
4,15158237,-3,-21,4,0,0,0,-1,9,0,0,0,11,1,2,1000,-1,-16,0,0,1671,256,-1654,707,-1,-1,6,-1,6,1,-107,22,2075,167,221,156,218,300,608,323,477,3,0,0,1,1,,,,,,
5,15160207,-2,-21,0,0,0,0,0,8,0,0,0,11,1,2,1000,-1,-16,0,0,1670,255,-1654,707,0,-1,3,-9,-17,-5,-116,19,2063,153,234,154,214,302,605,363,474,3,0,0,1,1,,,,,,
6,15162179,-4,-21,4,0,0,0,-4,10,0,0,0,11,1,2,1000,-1,-16,0,0,1670,256,-1654,702,-2,-3,1,11,-4,1,-100,39,2068,139,226,155,216,305,645,363,475,3,0,0,1,1,,,,,,
7,15164150,-4,-22,0,0,0,0,-4,8,0,0,0,11,1,2,1000,-1,-16,0,0,1670,256,-1655,707,0,-1,11,9,-11,4,-108,23,2055,155,231,156,215,300,685,364,475,3,0,0,1,1,4,0,2,40,0,0
64,15181848,-1,-24,-5,0,0,0,1,-5,0,0,0,11,1,2,1000,-1,-16,0,0,1669,188,-1652,698,-1,1,3,0,0,-3,-115,-7,2047,164,254,148,274,302,482,286,469,3,0,0,1,1,4,0,2,40,0,0
65,15183816,-1,-24,-2,0,0,0,0,-2,0,0,0,11,1,2,1000,-1,-16,0,0,1669,189,-1652,694,1,2,2,-13,4,5,-121,-10,2047,143,253,150,275,303,522,286,468,3,0,0,1,1,4,0,2,40,0,0
66,15185784,-1,-24,0,0,0,0,1,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1668,190,-1652,694,-1,0,0,-4,19,4,-121,-13,2043,162,230,150,274,302,527,326,467,3,0,0,1,1,4,0,2,40,0,0
67,15187753,-1,-24,-6,0,0,0,2,-4,0,0,0,11,1,2,1000,-1,-16,0,0,1668,189,-1653,700,1,4,7,-26,22,-1,-121,-24,2034,176,241,148,273,294,567,326,467,3,0,0,1,1,4,0,2,40,0,0
68,15189722,-2,-25,-4,0,0,0,-1,-4,0,0,0,11,1,2,1000,-1,-16,0,0,1672,188,-1652,701,-4,0,3,-25,13,-14,-137,-1,2075,169,247,147,272,294,568,366,467,3,0,0,1,1,4,0,2,40,0,0
69,15191691,-2,-23,0,0,0,0,-1,0,0,0,0,11,1,2,1000,-1,-16,0,0,1673,241,-1651,700,-3,5,5,-19,21,3,-115,-31,2027,176,193,149,273,293,576,406,467,3,0,0,1,1,4,0,2,40,0,0
70,15193659,-1,-23,-5,0,0,0,3,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1672,243,-1652,700,2,-2,4,-23,30,3,-112,-16,2038,176,257,147,270,293,570,446,468,3,0,0,1,1,4,0,2,40,0,0
71,15195627,-4,-22,-3,0,0,0,-3,0,0,0,0,11,1,2,1000,-1,-16,0,0,1671,240,-1651,700,-2,5,6,-21,20,-5,-104,-2,2061,170,231,146,268,294,571,486,468,3,0,0,1,1,4,0,2,40,0,0
72,15197594,-4,-22,1,0,0,0,-1,5,0,0,0,11,1,2,1000,-1,-16,0,0,1671,241,-1651,697,-2,0,2,-26,20,6,-129,-24,2049,132,245,149,269,297,534,550,-7606199,3,0,0,1,1,4,0,2,40,0,0
73,15201529,-3,-22,-3,0,0,0,1,3,0,0,0,11,1,2,1000,-1,-16,0,0,1675,240,-1651,697,3,2,3,-17,31,9,-127,-13,2043,140,249,147,268,296,533,590,-7606199,3,0,0,1,1,4,0,2,40,0,0
74,15205464,-3,-23,-3,0,0,0,-1,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1676,104,-1652,698,-2,1,2,-31,14,-2,-132,-6,2083,134,285,146,263,297,532,630,-7606200,3,0,0,1,1,4,0,2,40,0,0
75,15209400,-5,-23,1,0,0,0,-3,1,0,0,0,11,1,2,1000,-1,-16,0,0,1675,103,-1651,697,-4,2,1,-20,14,11,-104,-8,2071,137,229,147,265,295,533,670,-7606200,3,0,0,1,1,4,0,2,40,0,0
76,15213336,-4,-23,-2,0,0,0,-1,0,0,0,0,11,1,2,1000,-1,-16,0,0,1675,102,-1652,702,-4,2,3,-16,13,-3,-124,-34,2077,139,258,148,264,294,573,670,-7606200,3,0,0,1,1,4,0,2,40,0,0
77,15217272,-4,-23,-3,0,0,0,-1,-3,0,0,0,11,1,2,1000,-1,-16,0,0,1675,102,-1652,701,-3,2,1,-23,15,-6,-106,-1,2074,170,242,142,264,289,613,671,-7606200,3,0,0,1,1,4,0,2,40,0,0
78,15221206,-5,-22,1,0,0,0,-2,2,0,0,0,11,1,2,1000,-1,-16,0,0,1679,101,-1651,701,-7,3,2,-22,3,-10,-109,-27,2064,154,209,145,267,289,618,711,-7606200,3,0,0,1,1,4,0,2,40,0,0
79,15225141,-4,-21,-2,0,0,0,-1,3,0,0,0,11,1,2,1000,-1,-16,0,0,1678,104,-1651,700,-1,0,0,-16,34,0,-100,-14,2052,162,221,144,271,288,618,751,-7606200,3,0,0,1,1,4,0,2,40,0,0
80,15229076,-3,-23,-4,0,0,0,0,-2,0,0,0,11,1,2,1000,-1,-16,0,0,1673,103,-1652,700,-3,1,3,-18,15,-26,-108,-11,2058,175,215,187,269,283,618,745,-7606237,3,0,0,1,1,4,0,2,40,0,0
81,15234979,-4,-22,-1,0,0,0,-4,2,0,0,0,11,1,2,1000,-1,-16,0,0,1673,104,-1652,698,-3,-2,-2,-8,17,-17,-97,-8,2055,140,218,162,270,289,658,745,-7606237,3,0,0,1,1,4,0,2,40,0,0
82,15240882,-3,-21,-2,0,0,0,-1,3,0,0,0,11,1,2,1000,-1,-16,0,0,1673,104,-1653,699,-3,1,3,-1,25,-26,-111,-32,2058,149,216,175,268,289,698,745,-7606236,3,0,0,1,1,4,0,2,40,0,0
83,15246785,-2,-23,-5,0,0,0,-1,-2,0,0,0,11,1,2,1000,-1,-16,0,0,1673,103,-1652,702,-4,0,-3,-9,16,-15,-104,-6,2056,184,216,162,269,283,738,745,-7606237,3,0,0,1,1,4,0,2,40,0,0
84,15252687,-3,-23,-2,0,0,0,-3,1,0,0,0,11,1,2,1000,-1,-16,0,0,1672,101,-1651,702,-7,2,1,-4,12,-15,-108,-15,2063,164,193,167,269,283,742,785,-7606236,3,0,0,1,1,4,0,2,40,0,0
85,15258589,-2,-22,-3,0,0,0,-2,3,0,0,0,11,1,2,1000,-1,-16,0,0,1667,102,-1652,702,-5,2,-4,-6,13,2,-99,-15,2055,156,209,152,269,286,741,788,-7606196,3,0,0,1,1,4,0,2,40,0,0
86,15264490,0,-23,-4,0,0,0,0,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1667,101,-1652,703,-4,3,3,-11,18,-9,-103,-7,2063,190,201,159,268,281,781,789,-7606196,3,0,0,1,1,4,0,2,40,0,0
87,15270391,-1,-23,-4,0,0,0,-3,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1667,101,-1652,702,-6,2,-6,-20,6,-11,-99,-1,2051,166,205,152,267,284,821,789,-7606197,3,0,0,1,1,4,0,2,40,0,0
88,15276293,-1,-23,-3,0,0,0,-3,2,0,0,0,11,1,2,1000,-1,-16,0,0,1667,101,-1652,700,-4,1,5,-7,30,-9,-98,-15,2057,149,203,158,267,288,784,917,-15244349,3,0,0,1,1,4,0,2,40,0,0
89,15284163,-1,-24,-5,0,0,0,-3,-1,0,0,0,11,1,2,1000,-1,-16,0,0,1666,103,-1652,700,-3,-1,1,-17,3,-17,-97,-4,2061,157,223,154,267,288,780,957,-15244349,3,0,0,1,1,4,0,2,40,0,0
