loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7022560,0,14,5,0,0,0,-1,2,0,0,0,11,1,2,1000,0,9,0,0,1146,141,-189,590,0,0,-4,0,-1,-1,92,3,2037,223,179,238,158,302,221,300,227,,,,,,,,,,,
1,7024528,1,15,3,0,0,0,1,2,0,0,0,11,1,2,1000,0,9,0,0,1146,141,-190,593,0,1,0,-1,-3,-2,84,-10,2031,223,179,236,159,302,261,300,227,3,0,0,1,1,,,,,,
2,7026497,0,14,1,0,0,0,-1,0,0,0,0,11,1,2,1000,0,9,0,0,1145,142,-190,594,2,0,0,-1,-26,3,89,-14,2030,187,186,237,159,305,259,340,226,3,0,0,1,1,,,,,,
3,7028466,0,16,5,0,0,0,-2,6,0,0,0,11,1,2,1000,0,9,0,0,1145,143,-190,590,3,-1,-5,8,-20,-9,112,5,2065,197,180,236,157,305,299,340,226,3,0,0,1,1,,,,,,
4,7030446,58,15,2,0,0,-1,-7,7,40,1,1,14,1,2,1000,0,9,0,0,1148,144,-190,590,2,0,-2,6,-35,-21,99,-6,2051,190,182,242,183,309,291,346,208,3,0,0,1,1,,,,,,
5,7032425,58,14,-2,0,0,-1,-7,2,40,1,1,14,1,2,1000,0,9,0,0,1147,142,-191,590,7,1,-2,9,-26,-15,104,-14,2049,171,201,240,170,309,289,386,208,3,0,0,1,1,,,,,,
6,7034405,57,13,1,0,0,-1,-10,0,40,1,1,14,1,2,1000,0,9,0,0,1147,142,-190,586,4,2,-7,-17,-33,-21,74,-10,2012,158,193,240,179,309,329,385,207,3,0,0,1,1,,,,,,
7,7036385,58,14,3,0,0,-1,-8,5,40,1,1,14,1,2,1000,0,9,0,0,1147,142,-191,584,6,0,-2,11,-29,-18,108,-1,2069,164,195,238,171,310,369,386,208,3,0,0,1,1,,,,,,
8,7038364,59,13,-1,0,0,-1,-5,4,40,1,1,14,1,2,1000,0,9,0,0,1147,141,-191,590,4,0,1,-6,-20,-6,104,-17,2048,190,193,241,174,310,409,386,207,3,0,0,1,1,,,,,,
64,7054053,1,14,-3,0,0,0,0,-1,0,0,0,11,1,2,1000,0,9,0,0,1146,129,-207,591,-1,0,0,0,0,-3,73,10,2031,219,158,213,174,299,221,298,221,3,0,0,1,1,,,,,,
