loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7199211,-8,6,0,0,0,0,-3,-3,0,0,0,1,0,-3,1000,-5,6,0,0,1184,0,-303,642,0,1,1,0,1,2,18,30,2027,207,194,162,148,303,243,250,204,,,,,,,,,,,
1,7201179,-9,7,-2,0,0,0,-3,3,0,0,0,1,0,-3,1000,-5,6,0,0,1184,1,-304,643,0,-1,1,6,14,1,46,23,2048,207,190,163,145,303,283,251,204,3,0,0,1,1,,,,,,
2,7203146,-8,8,-1,0,0,0,-1,3,0,0,0,1,0,-3,1000,-5,6,0,0,1183,0,-305,641,-2,-1,0,0,35,-2,34,29,2027,226,192,162,148,300,283,291,204,3,0,0,1,1,,,,,,
3,7205113,-8,6,1,0,0,0,-2,-4,0,0,0,1,0,-3,1000,-5,6,0,0,1183,0,-304,639,-1,0,-1,2,8,-5,-3,39,2005,216,194,161,148,300,323,292,203,3,0,0,1,1,,,,,,
4,7207079,-8,5,-2,0,0,0,-2,-3,0,0,0,1,0,-3,1000,-5,6,0,0,1183,0,-303,643,0,2,4,-23,34,-4,17,31,1999,224,192,161,151,300,363,292,202,3,0,0,1,1,,,,,,
5,7209046,-8,6,-3,0,0,0,-2,1,0,0,0,1,0,-3,1000,-5,6,0,0,1184,129,-302,643,0,0,-1,-12,27,7,20,75,2000,245,192,157,151,297,363,332,201,3,0,0,1,1,,,,,,
6,7211013,-6,7,0,0,0,0,1,0,0,0,0,1,0,-3,1000,-5,6,0,0,1183,127,-303,642,-3,1,1,-19,45,-7,29,23,1983,254,192,161,150,295,363,372,202,3,0,0,1,1,,,,,,
14,29,0,3,0,1,0,40,-1,0,0,-1,0,-3,-3,0,0,0,0,0,-1,1185,0,0,2,-1,1,3,-12,-9,-15,-19,12,-30,48,50,46,51,0,80,0,1,3,0,0,1,1,,,,,,
15,29,-2,2,-2,1,0,40,-4,1,0,-1,0,-3,-3,0,0,0,0,0,-1,1185,2,1,4,1,0,4,-25,9,-14,14,32,-44,52,47,46,52,-1,43,32,3615353,3,0,0,1,1,,,,,,
16,1997,0,3,0,1,0,40,2,5,0,-1,0,-3,-3,0,0,0,0,0,-1,1185,0,0,1,0,-1,1,-4,-4,-12,-12,-3,-6,50,49,47,47,-1,83,32,3615354,3,0,0,1,1,,,,,,
