loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7292525,11,14,0,0,0,0,3,5,0,0,0,10,1,2,1000,6,7,0,0,1188,117,-343,515,-1,-1,2,-1,-1,2,45,-46,2051,226,148,277,203,277,199,329,264,,,,,,,,,,,
1,7294493,10,14,-2,0,0,0,0,4,0,0,0,10,1,2,1000,6,7,0,0,1188,118,-343,515,0,0,1,-8,-10,-5,49,-46,2033,219,145,276,201,275,239,329,263,3,6,0,1,1,5,126911807,776362670,9201,2,628
2,7296461,10,14,1,0,0,0,0,5,0,0,0,10,1,2,1000,6,7,0,0,1187,117,-342,515,-4,0,1,-7,-15,12,35,-75,2042,201,127,277,202,278,240,369,263,3,6,0,1,1,5,126911807,776362670,9201,2,628
3,7298429,11,14,0,0,0,0,2,8,0,0,0,10,1,2,1000,6,7,0,0,1187,116,-342,517,-3,0,5,28,6,9,65,-60,2075,233,135,276,198,277,280,369,263,3,6,0,1,1,5,126911807,776362670,9201,2,628
4,7300397,9,13,-1,0,0,0,-4,6,0,0,0,10,1,2,1000,6,7,0,0,1187,117,-343,518,-2,0,0,-13,-26,6,59,-67,2023,199,131,276,204,279,320,369,263,3,6,0,1,1,5,126911807,776362670,9201,2,628
5,7302366,10,13,1,0,0,0,-2,9,0,0,0,10,1,2,1000,6,7,0,0,1187,117,-343,517,-2,0,3,26,-12,13,47,-63,2063,214,135,276,201,280,360,368,262,3,6,0,1,1,4,0,4,2,80,0
6,7304337,10,12,-2,0,0,0,-3,8,0,0,0,10,1,2,1000,6,7,0,0,1187,117,-343,521,-2,-1,5,1,11,14,73,-65,2043,223,129,276,199,276,400,364,262,3,6,0,1,1,4,0,4,2,80,0
7,7306310,11,10,0,0,0,0,0,6,0,0,0,10,1,2,1000,6,7,0,0,1187,117,-343,518,-1,1,0,11,10,18,42,-64,2054,227,132,277,201,276,440,364,264,3,6,0,1,1,4,0,4,2,80,0
64,7324014,12,14,2,0,0,0,3,4,0,0,0,10,1,2,1000,6,7,0,0,1186,100,-343,515,-1,-1,-1,0,-1,0,73,-35,2043,212,148,278,199,278,198,332,262,3,6,0,1,1,4,0,4,2,80,0
65,7325982,11,12,0,0,0,0,-1,-1,0,0,0,10,1,2,1000,6,7,0,0,1186,101,-342,517,0,0,-1,-6,-18,0,52,-35,1993,198,148,278,200,280,238,333,260,3,6,0,1,1,4,0,4,2,80,0
66,7327949,10,9,1,0,0,0,-1,-5,0,0,0,10,1,2,1000,6,7,0,0,1186,102,-341,516,-1,3,-2,-27,-5,1,37,-31,1981,192,149,278,201,280,278,333,261,3,6,0,1,1,4,0,4,2,80,0
67,7329916,12,9,1,0,0,0,4,-2,0,0,0,10,1,2,1000,6,7,0,0,1185,103,-343,516,0,0,-2,-14,16,13,41,-14,1985,255,183,276,200,274,275,373,261,3,6,0,1,1,4,0,4,2,80,0
