loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7951475,22,-20,-4,0,0,0,0,2,0,0,0,10,1,2,1000,12,-13,0,0,1128,217,-307,612,0,0,4,0,0,1,-92,-51,2028,158,210,226,307,207,316,325,439,,,,,,,,,,,
1,7953443,22,-20,-3,0,0,0,0,2,0,0,0,10,1,2,1000,12,-13,0,0,1127,218,-307,612,-3,-1,3,-4,8,-23,-87,-51,2030,160,210,227,309,209,318,365,440,3,0,0,1,1,,,,,,
2,7955410,21,-21,1,0,0,0,-1,-2,0,0,0,10,1,2,1000,12,-13,0,0,1128,159,-307,613,-4,0,3,0,0,-30,-108,-51,2074,181,233,226,305,207,318,405,441,3,0,0,1,1,,,,,,
3,7957378,21,-21,-4,0,0,0,-1,0,0,0,0,10,1,2,1000,12,-13,0,0,1128,159,-307,619,-3,1,7,-1,36,-31,-97,-83,2025,154,221,228,310,208,358,401,442,3,0,0,1,1,,,,,,
4,7959349,21,-20,-2,0,0,0,0,1,0,0,0,10,1,2,1000,12,-13,0,0,1128,159,-308,614,-4,0,-2,6,-14,-21,-102,-72,2066,167,227,227,305,208,398,400,443,3,0,0,1,1,,,,,,
5,7961320,20,-20,-1,0,0,0,-2,0,0,0,0,10,1,2,1000,12,-13,0,0,1128,159,-308,614,-3,0,10,-19,21,-23,-99,-56,2050,160,224,225,306,207,438,401,442,3,0,0,1,1,0,24,33,11,0,1
6,7963290,20,-20,-5,0,0,0,-3,1,0,0,0,10,1,2,1000,12,-13,0,0,1128,159,-308,618,-2,-1,2,-2,15,-17,-100,-83,2026,155,226,228,308,207,478,402,442,3,0,0,1,1,0,24,33,11,0,1
7,7965259,20,-20,-2,0,0,0,-2,1,0,0,0,10,1,2,1000,12,-13,0,0,1127,160,-307,618,-7,-1,6,-14,38,-39,-97,-69,2042,172,223,226,307,205,477,442,442,3,0,0,1,1,0,24,33,11,0,1
8,7967232,20,-21,-1,0,0,0,-3,-1,0,0,0,10,1,2,1000,12,-13,0,0,1127,160,-307,619,-4,0,9,-34,29,-21,-98,-51,2048,177,224,225,305,206,440,474,-3991043,3,0,0,1,1,0,24,33,11,0,1
9,7971174,19,-20,-5,0,0,0,-5,2,0,0,0,10,1,2,1000,12,-13,0,0,1127,161,-308,621,-7,-2,5,-1,48,-21,-97,-91,2015,145,222,227,307,207,480,473,-3991043,3,0,0,1,1,0,24,33,11,0,1
10,7975116,21,-20,-1,0,0,0,-3,0,0,0,0,10,1,2,1000,12,-13,0,0,1127,160,-308,616,-6,-1,3,-12,-6,-30,-97,-53,2062,183,223,226,305,206,520,474,-3991042,3,0,0,1,1,0,24,33,11,0,1
11,7979057,19,-20,-1,0,0,0,-7,-2,0,0,0,10,1,2,1000,12,-13,0,0,1126,159,-308,617,-4,0,6,0,3,1,-102,-72,2059,157,224,226,304,204,517,514,-3991041,3,0,0,1,1,0,24,33,11,0,1
12,7982997,19,-19,-4,0,0,0,-6,1,0,0,0,10,1,2,1000,12,-13,0,0,1125,161,-308,616,-3,-2,2,-8,7,4,-96,-62,2023,152,204,226,307,206,520,554,-3991041,3,0,0,1,1,0,24,33,11,0,1
13,7986938,20,-19,-1,0,0,0,-5,1,0,0,0,10,1,2,1000,12,-13,0,0,1125,160,-309,612,-3,-2,1,-3,-30,13,-99,-55,2070,164,214,225,304,206,560,553,-3991041,3,0,0,1,1,0,24,33,11,0,1
14,7990880,18,-21,-2,0,0,0,-8,-4,0,0,0,10,1,2,1000,12,-13,0,0,1125,161,-307,615,-3,-2,6,-27,22,4,-97,-29,2024,168,209,224,307,205,600,552,-3991040,3,0,0,1,1,0,24,33,11,0,1
15,7994822,18,-21,-4,0,0,0,-7,-2,0,0,0,10,1,2,1000,12,-13,0,0,1125,161,-307,616,-3,-4,0,1,-8,11,-98,-71,2037,154,211,226,305,207,640,553,-3991041,3,0,0,1,1,0,24,33,11,0,1
16,7998763,19,-22,0,0,0,0,-5,-5,0,0,0,10,1,2,1000,12,-13,0,0,1124,162,-307,616,-7,-4,5,-15,7,-18,-107,-50,2056,190,233,225,306,203,640,516,-3990977,3,0,0,1,1,0,24,33,11,0,1
17,8004672,19,-22,-2,0,0,0,-7,-5,0,0,0,10,1,2,1000,12,-13,0,0,1124,162,-306,619,-3,-5,5,-14,25,-7,-102,-63,2031,168,222,223,307,206,680,516,-3990978,3,0,0,1,1,0,24,33,11,0,1
18,8010582,18,-22,-3,0,0,0,-7,-3,0,0,0,10,1,2,1000,12,-13,0,0,1124,163,-306,619,-6,-4,1,16,6,-6,-104,-84,2019,150,227,227,307,207,720,515,-3990976,3,0,0,1,1,0,24,33,11,0,1
19,8016493,19,-23,1,0,0,0,-6,-6,0,0,0,10,1,2,1000,12,-13,0,0,1124,162,-306,616,-5,-4,2,-14,-17,-2,-103,-43,2063,192,224,223,304,205,760,514,-3990978,3,0,0,1,1,0,24,33,11,0,1
20,8022405,18,-23,-2,0,0,0,-8,-5,0,0,0,10,1,2,1000,12,-13,0,0,1123,161,-305,617,-2,-3,2,5,-7,31,-114,-63,2044,138,214,225,305,205,762,554,-3990979,3,0,0,1,1,0,24,33,11,0,1
21,8028318,19,-22,-2,0,0,0,-5,-2,0,0,0,10,1,2,1000,12,-13,0,0,1122,164,-306,616,-4,-4,1,-8,14,-6,-108,-53,2024,179,211,224,307,206,764,594,-3990980,3,0,0,1,1,0,24,33,11,0,1
22,8034231,20,-23,1,0,0,0,-5,-5,0,0,0,10,1,2,1000,12,-13,0,0,1122,163,-306,614,-3,-2,5,-30,2,21,-111,-31,2055,181,212,223,305,206,804,594,-3990982,3,0,0,1,1,0,24,33,11,0,1
23,8040145,19,-22,-1,0,0,0,-7,-2,0,0,0,10,1,2,1000,12,-13,0,0,1122,164,-306,617,-2,-4,3,-19,32,12,-109,-58,2008,153,211,224,309,208,844,593,-3990981,3,0,0,1,1,0,24,33,11,0,1
24,8046060,21,-22,-1,0,0,0,-4,-2,0,0,0,10,1,2,1000,12,-13,0,0,1122,163,-307,616,-3,-4,0,-4,3,19,-110,-62,2051,172,211,225,306,208,807,689,31998,3,0,0,1,1,0,24,33,11,0,1
25,8053944,22,-23,1,0,0,0,-4,-7,0,0,0,10,1,2,1000,12,-13,0,0,1121,162,-308,616,-3,-4,1,-10,1,6,-113,-60,2056,174,233,223,303,206,804,729,31997,3,0,0,1,1,0,24,33,11,0,1
26,8061828,21,-21,-2,0,0,0,-6,-4,0,0,0,10,1,2,1000,12,-13,0,0,1121,163,-308,620,-2,-5,3,-11,48,10,-111,-88,2017,139,222,226,307,210,844,730,31998,3,0,0,1,1,0,24,33,11,0,1
15,39,0,2,2,0,40,-1,1,1,2,0,3,2,0,0,0,0,0,0,0,1130,-2,-2,0,-4,20,-44,2,0,-14,26,6,0,162,161,162,202,2,2,1,6,3,0,0,1,1,0,24,33,11,0,1
16,38,-1,1,2,0,40,-1,-2,-3,2,0,3,2,0,0,0,0,0,0,0,1130,-2,-2,0,-3,20,-40,-20,13,-17,26,42,-1,181,162,158,203,-1,42,2,4,3,0,0,1,1,0,24,33,11,0,1
17,36,-1,3,0,0,40,-1,-2,0,2,0,3,2,0,0,0,0,0,0,0,1130,-1,-2,2,-4,19,-43,4,30,-6,26,0,-23,145,161,162,205,-1,82,2,5,3,0,0,1,1,0,24,33,11,0,1
18,34,1,4,2,0,40,-1,1,1,2,0,3,2,0,0,0,0,0,0,0,1129,0,-3,1,-5,18,-41,-10,23,-38,30,21,-17,193,176,160,205,-2,80,42,6,3,0,0,1,1,0,24,33,11,0,1
19,31,1,4,2,0,40,-1,-1,0,2,0,3,2,0,0,0,0,0,0,0,1129,0,-2,1,-3,18,-41,-20,34,-20,28,34,-24,178,168,158,207,-2,120,43,4,3,0,0,1,1,0,24,33,11,0,1
20,27,0,5,0,0,40,-1,-2,3,2,0,3,2,0,0,0,0,0,0,0,1129,1,-2,3,-4,18,-40,16,44,-24,29,-4,-46,148,172,162,208,2,83,171,4038730,3,0,0,1,1,0,24,33,11,0,1
21,1992,1,4,2,0,40,-1,1,1,2,0,3,2,0,0,0,0,0,0,0,1129,0,-1,1,-5,18,-41,-5,10,-24,28,32,-12,188,170,161,204,1,123,170,4038730,3,0,0,1,1,0,24,33,11,0,1
22,3958,0,4,2,0,40,-1,-2,1,2,0,3,2,0,0,0,0,0,0,0,1128,-2,0,2,-4,20,-39,7,8,-3,22,14,-12,156,168,162,205,3,124,210,4038729,3,0,0,1,1,0,24,33,11,0,1
23,5924,1,6,1,0,40,-1,0,5,2,0,3,2,0,0,0,0,0,0,0,1125,-1,-18,2,-5,20,-41,0,9,6,43,29,-12,134,161,134,204,5,126,212,4038769,3,0,0,1,1,0,24,33,11,0,1
24,7889,1,7,2,0,40,-1,0,4,2,0,3,2,0,0,0,0,0,0,0,1125,-1,-19,1,-5,20,-43,4,-32,8,32,24,4,152,164,146,202,4,166,213,4038769,3,0,0,1,1,0,24,33,11,0,1
25,9854,0,7,1,0,40,-1,-4,4,2,0,3,2,0,0,0,0,0,0,0,1125,-1,-18,1,-5,21,-40,-23,20,4,37,47,-24,140,162,137,205,4,206,211,4038768,3,0,0,1,1,0,24,33,11,0,1
26,11821,2,9,0,0,40,-1,0,8,2,0,3,2,0,0,0,0,0,0,0,1126,123,-18,0,-4,20,-42,-10,24,-2,45,35,-40,158,158,141,205,4,205,251,4038767,3,0,0,1,1,0,24,33,11,0,1
