loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,56539527,13,14,1,0,0,0,0,-2,0,0,0,10,1,1,1000,8,10,0,0,1245,111,-2492,636,0,0,0,1,0,0,54,-68,2027,188,148,243,193,298,207,372,295,,,,,,,,,,,
1,56541495,12,13,-1,0,0,0,-3,-6,0,0,0,10,1,1,1000,8,10,0,0,1245,111,-2492,638,0,1,0,-9,23,1,45,-68,1994,181,149,243,197,298,247,373,295,3,7,0,1,1,30,126911817,126911817,9312,2,0
2,56543462,13,14,0,0,0,0,1,0,0,0,0,10,1,1,1000,8,10,0,0,1243,113,-2515,638,0,-2,-1,-7,12,18,43,-59,2034,184,197,260,192,298,242,372,335,3,7,0,1,1,30,126911817,126911817,9312,2,0
3,56545428,12,13,0,0,0,0,-1,-5,0,0,0,10,1,1,1000,8,10,0,0,1243,113,-2515,639,-1,1,-1,-7,21,0,34,-63,1997,177,172,251,192,298,282,372,335,3,7,0,1,1,30,126911817,126911817,9312,2,0
4,56547395,12,12,0,0,0,0,-3,-7,0,0,0,10,1,1,1000,8,10,0,0,1243,113,-2515,639,1,0,-2,-3,3,15,25,-61,1992,173,185,254,195,298,322,371,335,3,7,0,1,1,30,126911817,126911817,9312,2,0
5,56549362,11,14,0,0,0,0,-3,-3,0,0,0,10,1,1,1000,8,10,0,0,1243,114,-2515,639,1,0,0,-20,8,18,49,-62,2010,170,177,253,189,298,362,371,336,3,7,0,1,1,30,126911817,126911817,9312,2,0
6,56551330,11,13,1,0,0,0,-1,-8,0,0,0,10,1,1,1000,8,10,0,0,1242,113,-2515,640,0,0,-1,-14,8,20,28,-92,2001,156,190,252,192,296,359,411,335,3,7,0,1,1,30,126911817,126911817,9312,2,0
7,56553299,12,13,1,0,0,0,-1,-7,0,0,0,10,1,1,1000,8,10,0,0,1243,219,-2516,640,1,-1,0,-11,19,35,50,-59,2005,183,188,252,190,296,358,451,334,3,7,0,1,1,30,126911817,126911817,9312,2,0
8,56555268,11,14,0,0,0,0,-3,-7,0,0,0,10,1,1,1000,8,10,0,0,1243,219,-2516,641,1,0,-4,-37,2,28,49,-75,1992,166,188,252,194,296,321,483,-28285177,3,7,0,1,1,30,126911817,126911817,9312,2,0
9,56559205,11,13,3,0,0,0,-3,-9,0,0,0,10,1,1,1000,8,10,0,0,1243,219,-2516,638,0,1,-1,-4,-8,19,22,-67,1985,161,191,252,192,297,361,483,-28285177,3,7,0,1,1,30,126911817,126911817,9312,2,0
10,56563145,11,13,1,0,0,0,-2,-10,0,0,0,10,1,1,1000,8,10,0,0,1243,219,-2516,640,3,1,2,-22,19,22,39,-71,1997,170,189,251,192,296,401,478,-28285177,3,7,0,1,1,30,126911817,126911817,9312,2,0
11,56567081,15,13,-17,1,1,-2,-4,-9,-1,-1,40,10,1,1,1000,8,10,0,0,1243,219,-2517,640,1,1,0,-13,5,20,30,-68,1990,167,186,234,197,301,404,478,-28285190,3,7,0,1,1,30,126911817,126911817,9312,2,0
12,56571018,14,13,-15,1,1,-2,-5,-9,-1,-1,40,10,1,1,1000,8,10,0,0,1243,220,-2516,637,1,-1,-1,7,-19,27,28,-69,1981,155,187,242,193,300,444,477,-28285189,3,7,0,1,1,30,126911817,126911817,9312,2,0
13,56574956,15,13,-15,1,1,-2,-4,-8,-1,-1,40,10,1,1,1000,8,10,0,0,1243,220,-2517,637,2,-1,2,1,-18,17,36,-68,2015,168,186,238,192,300,484,476,-28285189,0,0,0,0,-1,30,126911817,126911817,9312,2,0
14,56578894,14,12,-17,1,1,-2,-8,-11,-1,-1,40,10,1,1,1000,8,10,0,0,1243,220,-2517,637,2,-1,-3,-10,-13,22,18,-68,1956,150,187,240,193,301,524,477,-28285190,0,0,0,0,-1,30,126911817,126911817,9312,2,0
15,56582831,14,12,-15,1,1,-2,-4,-10,-1,-1,40,10,1,1,1000,8,10,0,0,1243,221,-2516,636,1,-1,3,9,-14,23,22,-68,1993,163,186,238,189,300,564,477,-28285188,0,0,0,0,-1,30,126911817,126911817,9312,2,0
16,56586769,15,13,-15,1,1,-2,-3,-10,-1,-1,40,10,1,2,1000,8,10,0,0,1243,220,-2516,637,1,-1,-1,-12,11,25,36,-68,2007,173,184,239,189,299,604,476,-28285189,0,0,0,0,-1,30,126911817,126911817,9312,2,0
128,56602514,14,14,-1,0,0,0,2,2,0,0,0,10,1,2,1000,8,10,0,0,1244,152,-2492,636,-1,-1,0,0,-1,0,63,-50,2038,213,148,269,210,294,208,367,292,0,0,0,0,-1,30,126911817,126911817,9312,2,0
