loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8131423,32,-18,-2,0,0,0,3,-1,0,0,0,10,1,2,1000,22,-15,0,0,1536,282,-317,640,0,0,2,0,1,2,-115,-123,2006,158,223,284,365,283,410,510,638,,,,,,,,,,,
1,8133391,31,-18,-1,0,0,0,-4,-1,0,0,0,10,1,2,1000,22,-15,0,0,1536,283,-317,638,2,-2,-3,29,-51,9,-115,-123,1977,122,223,283,365,287,450,510,638,3,0,0,1,1,,,,,,
2,8135360,33,-17,-1,0,0,0,4,-1,0,0,0,10,2,1,1000,22,-15,0,0,1532,284,-364,629,0,-1,1,12,-22,6,-135,-92,1999,140,221,326,397,287,451,506,635,3,0,0,1,1,,,,,,
3,8137328,33,-18,-1,0,0,0,4,-3,0,0,0,10,2,1,1000,22,-15,0,0,1532,283,-364,629,3,0,0,46,-19,4,-125,-100,2008,161,222,303,378,286,491,506,633,3,0,0,1,1,,,,,,
4,8139297,32,-16,-3,0,0,0,3,1,0,0,0,10,2,2,1000,22,-15,0,0,1532,284,-365,630,-1,3,0,34,-45,14,-130,-117,1975,113,221,315,391,285,531,505,635,3,0,0,1,1,,,,,,
5,8141267,33,-17,-2,0,0,0,3,0,0,0,0,10,2,2,1000,22,-15,0,0,1531,283,-366,630,-1,4,-3,38,-60,23,-128,-108,2004,159,247,309,385,281,528,545,634,3,0,0,1,1,,,,,,
6,8143237,34,-18,-2,0,0,0,4,0,0,0,0,10,2,2,1000,22,-15,0,0,1531,283,-366,630,-3,2,3,68,-38,14,-129,-107,1985,131,234,310,390,281,568,546,634,3,0,0,1,1,,,,,,
7,8145206,32,-18,-3,0,0,0,1,0,0,0,0,10,2,2,1000,22,-15,0,0,1531,284,-366,631,-1,7,-5,63,-106,31,-128,-115,1976,133,240,310,385,279,608,547,635,3,0,0,1,1,,,,,,
8,8147174,32,-18,-3,0,0,0,3,-1,0,0,0,10,2,2,1000,22,-15,0,0,1532,237,-366,631,-2,3,-5,70,-113,86,-136,-111,1984,146,252,310,387,275,611,587,635,3,0,0,1,1,,,,,,
64,8162917,30,-17,2,0,0,0,-4,0,0,0,0,10,2,2,1000,22,-15,0,0,1538,188,-326,640,1,0,-1,0,-2,-1,-121,-170,2023,158,230,265,324,283,408,508,640,3,0,0,1,1,,,,,,
65,8164885,33,-17,1,0,0,0,4,3,0,0,0,10,2,2,1000,22,-15,0,0,1538,186,-327,642,1,2,3,-26,31,10,-121,-186,2060,187,230,265,324,281,448,509,641,3,0,0,1,1,,,,,,
66,8166852,30,-16,1,0,0,0,-4,5,0,0,0,10,2,2,1000,22,-15,0,0,1538,188,-327,641,3,-1,-2,8,-23,6,-121,-176,2002,137,230,266,329,284,488,509,641,3,0,0,1,1,,,,,,
67,8168820,32,-17,1,0,0,0,3,1,0,0,0,10,2,2,1000,22,-15,0,0,1537,189,-328,641,3,-3,4,-11,1,39,-116,-181,2039,198,273,265,327,282,489,549,640,3,0,0,1,1,,,,,,
68,8170788,30,-17,1,0,0,0,-4,3,0,0,0,10,2,2,1000,22,-15,0,0,1536,187,-326,641,3,2,-1,3,-2,1,-115,-178,2021,132,210,264,325,286,490,589,641,3,0,0,1,1,,,,,,
69,8172755,33,-15,0,0,0,0,5,5,0,0,0,10,2,2,1000,22,-15,0,0,1536,185,-327,643,-2,-1,-1,-27,40,4,-115,-198,2067,196,241,266,323,285,530,590,641,3,0,0,1,1,,,,,,
70,8174721,32,-15,2,0,0,0,-1,5,0,0,0,10,2,2,1000,22,-15,0,0,1536,186,-326,641,4,-1,2,5,-12,9,-115,-175,2025,144,225,265,326,290,570,590,641,3,0,0,1,1,,,,,,
71,8176688,32,-15,1,0,0,0,1,5,0,0,0,10,2,2,1000,22,-15,0,0,1536,186,-326,641,-2,3,-5,-19,51,-10,-115,-185,2052,181,233,265,322,290,610,589,642,3,0,0,1,1,,,,,,
72,8178656,32,-16,0,0,0,0,1,5,0,0,0,10,2,2,1000,22,-15,0,0,1535,185,-327,642,2,2,-3,0,-1,-3,-117,-180,2040,166,238,265,326,294,609,552,706,3,0,0,1,1,,,,,,
73,8182593,32,-17,2,0,0,0,0,5,0,0,0,10,2,2,1000,22,-15,0,0,1534,184,-327,642,-3,3,-8,-14,39,-39,-95,-182,2057,171,233,265,325,297,610,592,705,3,0,0,1,1,,,,,,
74,8186530,34,-17,1,0,0,0,4,4,0,0,0,10,2,2,1000,22,-15,0,0,1534,182,-327,643,-1,7,-3,2,32,-31,-106,-184,2076,193,236,263,323,293,650,593,703,3,0,0,1,1,,,,,,
