loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,9116551,6,18,1,0,0,0,-3,-4,0,0,0,10,1,2,1000,4,13,0,0,1239,105,-10,603,1,0,1,-1,1,2,92,-44,2031,196,148,211,153,325,208,363,255,,,,,,,,,,,
1,9118519,7,17,-1,0,0,0,0,-3,0,0,0,10,1,2,1000,4,13,0,0,1240,147,-11,603,2,1,0,-3,-3,1,88,-37,2031,213,173,211,153,324,207,403,256,3,7,0,1,1,21,126911783,126911775,9288,1,1924
2,9120486,7,18,1,0,0,0,-1,-1,0,0,0,10,1,2,1000,4,13,0,0,1240,147,-11,601,3,0,0,7,16,-14,102,-40,2043,193,157,211,151,322,247,403,257,3,7,0,1,1,21,126911783,126911775,9288,1,1924
3,9122453,8,18,-1,0,0,0,3,-1,0,0,0,10,1,2,1000,4,13,0,0,1239,146,-12,602,3,-3,1,4,2,0,114,-45,2037,216,192,212,151,322,246,443,257,3,7,0,1,1,21,126911783,126911775,9288,1,1924
4,9124420,7,18,-1,0,0,0,-2,3,0,0,0,10,1,2,1000,4,13,0,0,1239,147,-13,601,4,-1,-4,14,5,1,132,-42,2039,182,173,211,152,321,286,444,255,3,7,0,1,1,21,126911783,126911775,9288,1,1924
5,9126386,8,18,0,0,0,0,2,0,0,0,0,10,1,2,1000,4,13,0,0,1239,147,-12,601,3,-1,4,10,-9,4,105,-43,2035,198,184,211,152,323,250,936,244,3,7,0,1,1,21,126911783,126911775,9288,1,1924
6,9128352,8,17,-2,0,0,0,1,-5,0,0,0,10,1,2,1000,4,13,0,0,1238,149,-11,602,5,-1,1,15,-3,-8,112,-67,2037,164,185,212,152,324,250,976,244,3,7,0,1,1,21,126911783,126911775,9288,1,1924
7,9130318,8,17,-2,0,0,0,-1,-1,0,0,0,10,1,2,1000,4,13,0,0,1237,147,-11,601,3,-1,0,9,-24,16,99,-33,2036,201,186,209,152,321,248,1016,246,3,7,0,1,1,21,126911783,126911775,9288,1,1924
8,9132281,9,16,-1,0,0,0,-1,-3,0,0,0,10,1,2,1000,4,13,0,0,1237,147,-11,599,3,0,4,6,-7,19,92,-50,2031,172,184,210,151,323,288,1017,247,3,7,0,1,1,21,126911783,126911775,9288,1,1924
64,9148042,6,17,-2,0,0,0,-1,-4,0,0,0,10,1,2,1000,4,13,0,0,1238,117,-19,603,0,0,2,0,0,2,86,-14,2047,204,148,220,177,316,205,356,251,3,7,0,1,1,21,126911783,126911775,9288,1,1924
