loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8535494,20,-54,1,0,0,0,-1,3,0,0,0,11,1,2,1000,17,-31,0,0,1203,329,-289,634,0,0,0,1,1,4,-177,-74,2024,148,346,226,415,205,523,330,647,,,,,,,,,,,
1,8537463,21,-54,1,0,0,0,1,2,0,0,0,11,1,2,1000,17,-31,0,0,1206,258,-325,634,-1,-1,0,-3,-6,-33,-233,-85,2024,152,357,238,415,205,523,327,687,3,0,0,1,1,,,,,,
2,8539432,20,-54,-2,0,0,0,-3,3,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-325,634,2,1,5,2,23,20,-189,-79,2025,126,347,232,413,204,520,367,688,3,0,0,1,1,,,,,,
3,8541400,21,-52,1,0,0,0,2,6,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-326,630,-2,-4,0,-53,-4,-14,-211,-93,2058,132,353,233,414,203,560,367,689,3,0,0,1,1,,,,,,
4,8543369,20,-53,-1,0,0,0,-2,5,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-326,633,1,2,3,12,6,0,-200,-79,2015,131,350,230,411,200,600,366,689,3,0,0,1,1,,,,,,
5,8545338,20,-55,0,0,0,0,-2,2,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-326,632,-1,0,-3,-60,-9,-8,-205,-75,2039,141,351,233,413,201,640,366,689,3,0,0,1,1,,,,,,
6,8547307,20,-55,1,0,0,0,-1,4,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-326,631,2,-3,3,21,9,2,-202,-82,2036,130,350,233,411,198,680,367,690,3,0,0,1,1,,,,,,
7,8549275,19,-56,-1,0,0,0,-4,-1,0,0,0,11,1,2,1000,17,-31,0,0,1210,257,-326,633,-2,4,5,-25,25,-7,-203,-60,2029,155,349,233,411,199,720,368,690,3,0,0,1,1,,,,,,
8,8551242,19,-55,1,0,0,0,-4,1,0,0,0,11,1,2,1000,17,-31,0,0,1209,256,-326,633,-2,1,-1,-11,5,-64,-221,-71,2018,143,331,232,413,200,721,331,722,3,0,0,1,1,,,,,,
9,8555177,20,-55,0,0,0,0,-2,0,0,0,0,11,1,2,1000,17,-31,0,0,1209,255,-326,636,0,4,7,14,51,-22,-212,-67,2030,164,339,232,410,201,761,331,722,3,0,0,1,1,,,,,,
10,8559113,19,-55,1,0,0,0,-5,-1,0,0,0,11,1,2,1000,17,-31,0,0,1209,256,-326,635,-2,-1,2,-42,0,-56,-216,-68,2005,138,335,230,413,201,801,330,721,3,0,0,1,1,0,-2,-5,4,0,0
11,8563050,19,-55,1,0,0,0,-6,3,0,0,0,11,1,2,1000,17,-31,0,0,1209,257,-326,635,1,3,1,46,11,-19,-214,-77,2006,131,337,231,411,203,841,329,722,3,0,0,1,1,0,-2,-5,4,0,0
12,8566987,19,-55,1,0,0,0,-5,1,0,0,0,12,1,2,1000,17,-31,0,0,1209,257,-326,636,-2,3,2,-42,19,-52,-215,-58,2029,159,336,230,409,203,881,330,722,3,0,0,1,1,0,-2,-5,4,0,0
13,8570923,18,-56,0,0,0,0,-9,2,0,0,0,12,1,2,1000,17,-31,0,0,1209,258,-326,637,3,0,0,-8,-7,-30,-214,-79,1981,120,336,230,412,200,921,330,722,3,0,0,1,1,0,-2,-5,4,0,0
14,8574859,18,-56,2,0,0,0,-7,2,0,0,0,12,1,2,1000,17,-31,0,0,1211,240,-326,637,-2,-2,4,-23,13,-25,-198,-68,2010,161,339,230,410,200,922,370,723,3,0,0,1,1,0,-2,-5,4,0,0
15,8578796,19,-58,1,0,0,0,-7,-2,0,0,0,12,1,2,1000,17,-31,0,0,1211,239,-326,638,2,-4,-1,-37,-46,-47,-206,-59,2003,171,337,228,409,198,962,366,722,3,0,0,1,1,0,-2,-5,4,0,0
16,8582735,19,-57,0,0,0,0,-10,1,0,0,0,12,1,2,1000,17,-31,0,0,1211,239,-326,640,0,-2,5,-2,55,-24,-202,-78,1984,140,338,229,411,200,925,430,4299962,3,0,0,1,1,0,-2,-5,4,0,0
17,8588642,20,-57,3,0,0,0,-6,-1,0,0,0,12,1,2,1000,17,-31,0,0,1210,243,-327,640,-1,-6,-2,-17,-29,-52,-213,-68,2011,184,360,228,412,199,925,470,4299962,3,0,0,1,1,0,-2,-5,4,0,0
18,8594550,21,-58,0,0,0,0,-8,-5,0,0,0,12,1,2,1000,17,-31,0,0,1209,240,-327,640,3,-1,4,-9,43,-33,-197,-73,2004,146,367,228,409,200,926,510,4299961,3,0,0,1,1,0,-2,-5,4,0,0
