loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,8588508,8,0,0,0,0,0,0,1,0,0,0,10,1,2,1000,5,0,0,0,1194,217,-442,628,0,0,0,1,0,0,-7,-28,2053,161,158,186,186,225,222,269,274,,,,,,,,,,,
1,8590477,7,1,-1,0,0,0,0,2,0,0,0,10,1,2,1000,5,0,0,0,1194,217,-442,629,-1,0,0,3,1,0,2,-28,2061,163,158,186,187,224,262,268,274,3,7,0,1,1,32,126911712,126911711,9338,2,0
2,8592446,7,1,-1,0,0,0,1,3,0,0,0,10,1,2,1000,5,0,0,0,1193,219,-442,629,-1,1,0,1,-6,-4,-2,-34,2059,163,161,187,186,225,262,308,274,3,7,0,1,1,32,126911712,126911711,9338,2,0
3,8594415,8,1,-2,0,0,0,1,3,0,0,0,10,1,2,1000,5,0,0,0,1194,90,-442,629,0,-1,0,3,-8,-11,6,-31,2060,165,162,186,185,225,262,348,274,3,7,0,1,1,32,126911712,126911711,9338,2,0
4,8596385,9,2,-2,0,0,0,2,5,0,0,0,10,1,2,1000,5,0,0,0,1194,90,-442,630,0,0,1,5,-4,-10,5,-38,2064,163,161,187,184,224,302,347,274,3,7,0,1,1,32,126911712,126911711,9338,2,0
5,8598355,8,2,-2,0,0,0,2,6,0,0,0,10,1,2,1000,5,0,0,0,1194,90,-442,629,1,1,0,6,-1,-8,4,-34,2061,161,161,186,184,225,342,347,275,3,7,0,1,1,32,126911712,126911711,9338,2,0
6,8600325,8,1,-1,0,0,0,1,5,0,0,0,10,1,2,1000,5,0,0,0,1194,90,-442,628,0,1,0,12,-5,-17,1,-36,2060,160,161,185,184,225,382,347,274,3,7,0,1,1,32,126911712,126911711,9338,2,0
7,8602295,9,1,-1,0,0,0,2,4,0,0,0,10,1,2,1000,5,0,0,0,1194,90,-442,629,-1,1,0,5,-9,-20,2,-30,2064,174,161,185,185,225,422,347,273,3,7,0,1,1,32,126911712,126911711,9338,2,0
8,8604265,8,1,-1,0,0,0,-1,8,0,0,0,10,1,2,1000,5,0,0,0,1195,190,-441,629,-1,1,-1,6,-7,-26,-1,-33,2050,150,131,185,185,225,424,310,305,3,7,0,1,1,32,126911712,126911711,9338,2,0
9,8608203,9,-1,0,0,0,0,0,7,0,0,0,10,1,2,1000,5,0,0,0,1195,190,-440,629,-2,0,2,6,6,-24,-12,-31,2053,168,145,186,184,225,464,310,304,3,7,0,1,1,32,126911712,126911711,9338,2,0
10,8612141,10,-1,-1,0,0,0,1,5,0,0,0,10,1,2,1000,5,0,0,0,1195,190,-441,629,-1,0,1,22,-3,-32,-12,-32,2051,168,139,185,185,222,504,310,304,3,7,0,1,1,32,126911712,126911711,9338,2,0
11,8616080,10,-3,-1,0,0,0,0,3,0,0,0,10,1,2,1000,5,0,0,0,1194,189,-441,630,-1,0,2,13,1,-49,-13,-32,2069,160,155,186,184,223,504,350,303,3,7,0,1,1,32,126911713,126911713,9337,3,0
12,8620019,9,-2,-1,0,0,0,-2,6,0,0,0,10,1,2,1000,5,0,0,0,1194,190,-442,630,-1,0,0,8,3,-34,-10,-48,2054,137,146,186,184,225,544,350,302,3,7,0,1,1,32,126911713,126911713,9337,3,0
13,8623958,11,-1,-1,0,0,0,1,6,0,0,0,10,1,2,1000,5,0,0,0,1194,189,-443,630,0,-1,2,9,18,-44,-1,-40,2089,166,150,187,182,225,584,351,302,3,7,0,1,1,32,126911713,126911713,9337,3,0
14,8627895,11,-1,-1,0,0,0,1,5,0,0,0,10,1,2,1000,5,0,0,0,1194,189,-443,630,0,1,1,24,8,-42,-13,-39,2059,158,149,185,185,223,624,352,301,3,7,0,1,1,32,126911713,126911713,9337,3,0
15,8631833,12,-1,-1,0,0,0,1,6,0,0,0,10,1,2,1000,5,0,0,0,1194,189,-443,629,0,1,1,27,-1,-38,-7,-37,2074,161,149,185,184,224,664,351,301,3,7,0,1,1,32,126911713,126911713,9337,3,0
16,8635771,11,0,-1,0,0,0,0,8,0,0,0,10,1,2,1000,5,0,0,0,1193,190,-442,629,1,0,0,25,-17,-29,-15,-36,2056,152,127,185,185,224,667,314,365,3,7,0,1,1,32,126911713,126911713,9337,3,0
17,8641677,11,-1,-2,0,0,0,1,6,0,0,0,10,1,2,1000,5,0,0,0,1193,189,-441,630,1,1,1,24,4,-32,-17,-36,2062,163,137,185,183,223,707,314,365,3,7,0,1,1,32,126911713,126911713,9337,3,0
18,8647583,12,-2,-2,0,0,0,2,3,0,0,0,10,1,2,1000,5,0,0,0,1193,189,-441,629,0,-1,-1,34,-17,-22,-22,-31,2057,168,133,183,186,221,747,315,364,3,7,0,1,1,32,126911713,126911713,9337,3,0
19,8653488,12,-1,-2,0,0,0,2,6,0,0,0,10,1,2,1000,5,0,0,0,1193,189,-441,629,0,0,0,30,-20,-34,-19,-39,2057,151,135,184,183,221,787,315,364,3,7,0,1,1,32,126911713,126911713,9337,3,0
20,8659393,13,-1,-3,0,0,0,3,6,0,0,0,10,1,2,1000,5,0,0,0,1192,190,-441,629,0,1,0,30,-27,-34,-19,-33,2054,167,139,183,184,220,788,355,364,3,7,0,1,1,32,126911713,126911713,9337,3,0
21,8665298,14,-1,-3,0,0,0,4,6,0,0,0,10,1,2,1000,5,0,0,0,1191,189,-441,629,1,1,0,32,-32,-23,-16,-34,2055,163,144,182,182,219,787,395,365,3,7,0,1,1,32,126911713,126911713,9337,3,0
